GENEID	gene	e14.5	e17.5	p0	p3	p7	p10	p14	p21
ENSMUSG00000000194	Gpr107	3889.79	4191.77	4385.46	5680.08	5455.48	5555.06	5058.89	5002.17
ENSMUSG00000000197	Nalcn	967.16	1447.81	1417.78	3303.52	3074.87	3953.74	8115.4	8200.04
ENSMUSG00000000202	Btbd17	2354.49	2816.41	2347.78	2064.92	2019.13	1115.52	485.62	160.49
ENSMUSG00000000214	Th	166.43	29.04	24.07	35.8	50.89	85.25	140.96	189.21
ENSMUSG00000000215	Ins2	0.74	0.84	0.56	6.48	5.55	9.48	3.77	5.37
ENSMUSG00000000216	Scnn1g	2.78	0.3	1.13	5.75	3.84	2.37	0.89	2.89
ENSMUSG00000000223	Drp2	795.32	606.94	480.18	657.98	562.02	548.26	556.15	606.77
ENSMUSG00000000244	Tspan32	7.87	6.18	2.14	5.26	3.04	7.1	3.26	5.49
ENSMUSG00000000247	Lhx2	5305.78	6073.94	5893.63	2204.38	2356.42	1636.38	1569.76	1421.79
ENSMUSG00000000253	Gmpr	41.21	30.27	29.81	31.5	9.76	84.05	25.98	68.95
ENSMUSG00000000263	Glra1	1.02	4.08	4.99	26.24	31.96	69.85	267.27	453.89
ENSMUSG00000000266	Mid2	372.34	426.66	605.11	729.44	704.55	682.01	993.7	1024.62
ENSMUSG00000000275	Trim25	143.56	298.81	388.57	633.35	947.63	692.71	785.84	905.71
ENSMUSG00000000276	Dgke	1089.33	1680.49	2291.09	8708.95	7998.48	10756.89	13762.33	15201.32
ENSMUSG00000000278	Scpep1	2597.6	2506.78	2301.56	1081.73	1100.69	735.39	694.32	775.38
ENSMUSG00000000282	Mnt	371.67	486.25	338.89	304.73	502.17	241.54	332.27	387.56
ENSMUSG00000000295	Hddc2	48.47	21.85	28.39	23.9	32.57	22.5	18.2	12.49
ENSMUSG00000000296	Tpd52l1	135.51	104.49	147.65	63.51	81.04	131.46	103.28	83.35
ENSMUSG00000000301	Pemt	125.09	127.61	105.16	58.02	88.03	49.78	55.36	59.56
ENSMUSG00000000305	Cdh4	55.78	34.47	31.49	20.25	7.48	9.46	19.79	20.92
ENSMUSG00000000308	Ckmt1	20.62	37.15	39.99	580.51	354.09	922.45	909.81	681.86
ENSMUSG00000000320	Alox12	16.54	7.56	7.1	14.99	11.35	11.84	18.84	17.53
ENSMUSG00000000325	Arvcf	6670.33	6740.95	6708.15	2485.94	2767.55	1976.93	1542.28	1824.26
ENSMUSG00000000326	Comt	591.28	733.48	727.19	990.84	901.99	1124.93	1226.08	1366.72
ENSMUSG00000000339	Rtca	57.6	41.48	90.78	57.53	62.85	82.89	66.15	59.16
ENSMUSG00000000340	Dbt	15.69	13.85	23.33	11.34	11.38	14.21	13.62	19.71
ENSMUSG00000000346	Dazap2	5467.07	6889.86	8093.05	5873.28	6346.52	4934.46	4264.99	4674.35
ENSMUSG00000000355	Mcts1	1295.3	1267.19	1283.94	1684.61	1589.09	1808.27	1583.6	1282.76
ENSMUSG00000000359	Rem1	16.99	4.08	5.41	3.16	4.5	11.85	8.43	12.84
ENSMUSG00000000365	Rnf17	84.66	51.63	43.91	34.75	35.47	47.38	50.01	63.1
ENSMUSG00000000374	Trappc10	3258.28	4005.17	4043.41	5436.02	5568.06	5675.7	5304.63	5914.87
ENSMUSG00000000378	Ccm2	144.37	377.76	305.42	466.36	437.94	323.23	271.82	229.47
ENSMUSG00000000384	Tbrg4	558.36	586.61	734.94	631.64	630.57	619.25	557.18	592.19
ENSMUSG00000000386	Mx1	282.52	218.41	192.25	41.98	65.88	35.55	53.47	50.37
ENSMUSG00000000392	Fap	31.43	4.45	5.83	84.58	64.88	235.67	249.3	204.86
ENSMUSG00000000399	Ndufa9	4368.19	4280.73	4256.63	5806.82	5557.77	6558.15	5783.7	5330.5
ENSMUSG00000000402	Egfl6	108.04	63.08	75.79	282.61	241.25	267.6	142.83	59.71
ENSMUSG00000000409	Lck	154.88	152.13	182.74	101.02	81.5	92.37	56.07	50.45
ENSMUSG00000000416	Cttnbp2	205.96	267.45	530.94	579.43	520.32	639.39	1008.81	1391.53
ENSMUSG00000000420	Galnt1	7359.33	7153.04	8670.37	6948.35	6753.92	6582.84	5530.99	4810.07
ENSMUSG00000000439	Mkrn2	2207.72	2465.96	3014.28	2507.12	2631.97	2677.44	2620.63	2828.35
ENSMUSG00000000440	Pparg	6.0	6.78	4.92	6.48	5.55	4.74	4.02	7.4
ENSMUSG00000000441	Raf1	1057.36	681.35	1240.44	611.23	771.48	793.33	597.28	513.07
ENSMUSG00000000486	Septin1	208.39	103.37	97.81	53.62	55.67	46.2	33.65	17.2
ENSMUSG00000000489	Pdgfb	138.62	53.08	53.71	318.2	266.76	534.08	406.48	288.5
ENSMUSG00000000530	Acvrl1	136.2	35.57	26.08	268.41	289.73	528.04	521.58	502.44
ENSMUSG00000000531	Grasp	487.24	288.33	291.84	97.54	108.36	116.03	84.86	93.34
ENSMUSG00000000538	Tom1l2	63.71	49.64	47.81	133.6	96.12	194.12	161.91	224.6
ENSMUSG00000000552	Zfp385a	786.83	848.77	821.87	1725.07	1730.55	2126.67	3302.17	3885.53
ENSMUSG00000000555	Itga5	353.03	182.26	141.39	77.68	81.67	132.6	124.08	80.8
ENSMUSG00000000560	Gabra2	124.92	548.82	431.54	729.04	645.59	779.19	1041.5	1073.95
ENSMUSG00000000561	Wdr77	588.77	571.05	534.77	529.87	459.79	448.75	372.42	334.03
ENSMUSG00000000562	Adora3	36.92	21.07	15.81	21.79	24.03	30.79	17.68	21.85
ENSMUSG00000000563	Atp5pb	16589.45	15915.51	17094.01	18715.48	18663.94	21055.18	18741.74	16743.91
ENSMUSG00000000567	Sox9	1281.58	1357.8	1016.92	651.38	697.14	355.23	386.64	296.14
ENSMUSG00000000568	Hnrnpd	4263.78	4540.2	4217.88	2239.6	2717.66	1837.61	2003.27	1696.84
ENSMUSG00000000579	Dynlt1c	530.66	450.36	520.61	638.57	563.8	630.0	580.29	352.96
ENSMUSG00000000581	C1d	4125.32	4312.48	5837.78	4699.96	4535.39	4936.99	4515.64	3704.17
ENSMUSG00000000594	Gm2a	1138.72	1960.41	2183.68	1914.39	1999.15	2058.07	2355.54	2430.28
ENSMUSG00000000600	Krit1	3286.03	2978.17	3520.08	3116.97	2840.52	3133.39	3220.07	3269.68
ENSMUSG00000000605	Clcn4	6350.07	10445.63	9606.1	16427.52	16803.75	15282.68	15547.66	15118.44
ENSMUSG00000000606	Vmn2r88	22.59	20.23	10.22	28.04	13.23	16.58	15.52	16.78
ENSMUSG00000000617	Grm6	4.7	1.62	0.56	1117.4	1061.85	2351.63	3790.93	2971.24
ENSMUSG00000000627	Sema4f	1.47	3.91	3.3	6.64	5.32	8.3	8.81	1.54
ENSMUSG00000000628	Hk2	71.36	16.74	13.56	10.45	3.14	2.37	12.91	47.32
ENSMUSG00000000631	Myo18a	2698.02	2544.58	2022.11	2358.85	2001.13	2191.79	1977.47	2593.69
ENSMUSG00000000632	Sez6	82.29	462.03	408.72	1701.75	1854.44	1602.33	1256.41	1144.15
ENSMUSG00000000673	Haao	25.65	11.4	7.59	3.48	7.58	10.66	8.69	10.88
ENSMUSG00000000682	Cd52	47.12	10.87	15.36	89.94	60.77	88.82	49.68	71.41
ENSMUSG00000000686	Abhd15	104.09	147.08	123.69	44.64	49.27	33.16	38.63	32.62
ENSMUSG00000000693	Loxl3	518.16	609.42	588.36	344.55	362.84	377.73	389.28	317.26
ENSMUSG00000000708	Kat2b	17.72	19.19	38.56	24.46	21.15	20.13	25.82	32.85
ENSMUSG00000000711	Rab5b	6136.88	6274.03	7494.15	9472.8	8591.12	9107.2	8181.36	8892.65
ENSMUSG00000000724	Cryba1	1557.01	118.84	22.36	232.21	67.18	59.24	12.01	15.69
ENSMUSG00000000731	Aire	5.44	8.65	7.03	4.86	6.6	8.29	14.81	17.67
ENSMUSG00000000732	Icosl	93.15	106.16	94.61	35.8	36.89	54.47	65.52	113.82
ENSMUSG00000000738	Spg7	2066.2	2579.34	2597.17	4213.58	4496.79	6266.48	6903.24	7341.89
ENSMUSG00000000739	Sult5a1	15.06	0.6	1.05	11.83	3.45	8.29	3.7	4.82
ENSMUSG00000000740	Rpl13	48414.4	51990.61	46378.28	27372.15	28195.96	27492.13	22177.71	18036.35
ENSMUSG00000000743	Chmp1a	4239.92	4549.04	4994.8	4144.43	4635.0	4250.12	4036.99	3424.29
ENSMUSG00000000751	Rpa1	8186.1	7792.34	6439.08	5135.38	4858.74	7961.98	12207.95	13206.14
ENSMUSG00000000753	Serpinf1	133.3	34.27	38.21	79.16	57.1	149.27	132.62	145.96
ENSMUSG00000000759	Tubgcp3	326.76	420.12	344.19	110.89	137.84	111.34	141.39	120.73
ENSMUSG00000000766	Oprm1	104.48	56.81	46.62	41.48	33.41	46.18	74.37	81.07
ENSMUSG00000000776	Polr3d	189.54	131.17	176.99	149.59	121.03	136.2	78.47	75.65
ENSMUSG00000000782	Tcf7	177.02	77.54	106.25	62.95	72.14	95.91	60.27	45.49
ENSMUSG00000000787	Ddx3x	32923.78	36241.67	43838.14	28843.14	33543.25	26792.07	25979.66	25335.21
ENSMUSG00000000792	Slc5a5	9.8	24.14	23.43	39.12	55.74	47.37	150.28	393.42
ENSMUSG00000000794	Kcnn3	45.92	31.98	40.97	65.06	53.27	68.67	91.48	104.63
ENSMUSG00000000804	Usp32	3187.38	5173.0	4705.68	7590.85	8166.78	8381.44	11187.19	11312.62
ENSMUSG00000000805	Car4	1.76	1.14	0.53	11.01	11.69	22.49	37.91	41.48
ENSMUSG00000000823	Zfp512b	1992.43	2586.36	3009.04	3629.36	3669.05	3524.04	3059.51	2284.77
ENSMUSG00000000826	Dnajc5	4728.83	5410.22	6452.38	10757.7	10827.39	11672.97	11850.32	12284.45
ENSMUSG00000000827	Tpd52l2	4030.16	3842.9	5285.7	3300.77	3231.09	2869.48	2242.24	2232.12
ENSMUSG00000000838	Fmr1	4915.76	6884.79	7374.07	4734.72	5223.29	4482.18	4824.08	4621.75
ENSMUSG00000000861	Bcl11a	1079.64	971.79	566.72	403.27	441.58	228.54	170.46	129.09
ENSMUSG00000000869	Il4	207.55	235.31	356.42	228.19	229.43	240.41	291.71	265.89
ENSMUSG00000000876	Pxmp4	29.56	50.83	58.92	45.76	51.38	45.0	28.32	20.99
ENSMUSG00000000881	Dlg3	3048.59	3448.08	3166.73	1804.62	1968.22	1152.2	839.3	973.4
ENSMUSG00000000884	Gnb1l	177.36	258.84	269.53	131.31	151.66	170.54	138.13	114.62
ENSMUSG00000000901	Mmp11	54.59	90.39	64.15	12.96	26.04	16.59	15.27	9.89
ENSMUSG00000000902	Smarcb1	7997.65	8073.22	5070.28	5967.95	6559.64	5840.5	4779.54	4465.69
ENSMUSG00000000903	Vpreb3	41.22	34.09	37.25	14.83	13.18	21.32	15.89	12.87
ENSMUSG00000000915	Hip1r	37.37	26.43	22.58	32.81	36.0	10.66	14.92	43.51
ENSMUSG00000000916	Nsun5	73.34	62.36	47.47	48.69	43.94	28.41	42.61	51.96
ENSMUSG00000000934	Top1mt	485.32	576.0	580.48	907.94	923.78	1188.92	1238.35	1436.9
ENSMUSG00000000948	Gm38393	2783.9	2575.34	2789.55	2441.69	2137.16	2325.57	3034.62	2862.04
ENSMUSG00000000957	Mmp14	4031.0	3573.84	2993.88	2666.16	2593.86	1747.79	1236.01	866.13
ENSMUSG00000000958	Slc7a7	166.27	171.65	139.7	153.82	167.84	204.86	160.8	126.27
ENSMUSG00000000959	Oxa1l	2862.29	2684.33	2615.67	2568.95	2527.41	2647.86	2374.67	2299.82
ENSMUSG00000000976	Heatr6	2666.41	2231.35	1768.81	1701.8	1753.01	1392.6	1171.23	1258.74
ENSMUSG00000000982	Ccl3	4.81	1.02	2.67	27.71	15.73	15.4	6.96	2.56
ENSMUSG00000001016	Ilf2	15625.68	15691.52	15040.35	15205.77	14808.89	13278.61	10020.52	8878.63
ENSMUSG00000001017	Chtop	1972.97	1640.55	1846.06	1839.35	1418.14	1371.17	1169.63	1600.75
ENSMUSG00000001018	Snapin	1486.66	1574.89	2071.39	2426.12	2484.46	2373.07	2234.7	2127.91
ENSMUSG00000001020	S100a4	4.98	0.84	1.62	13.77	11.81	53.3	137.52	170.66
ENSMUSG00000001025	S100a6	83.92	94.24	127.74	114.96	74.64	137.37	210.7	407.78
ENSMUSG00000001027	Scn4a	21.4	40.88	58.11	182.68	213.64	222.65	813.71	1328.89
ENSMUSG00000001029	Icam2	5.44	0.3	1.13	1.22	1.52	2.37	3.25	1.59
ENSMUSG00000001034	Mapk7	1035.7	875.8	765.05	471.48	466.4	221.44	104.37	88.18
ENSMUSG00000001036	Epn2	2857.47	2910.34	2729.22	3354.59	3456.74	3332.46	3082.59	3550.35
ENSMUSG00000001039	B9d1	706.45	746.57	609.25	874.14	781.35	1289.63	824.2	626.92
ENSMUSG00000001052	Sec24b	159.58	113.28	79.4	41.23	87.51	68.68	83.25	90.05
ENSMUSG00000001053	N4bp3	3.51	4.74	6.08	10.29	5.15	14.22	13.98	5.79
ENSMUSG00000001054	Rmnd5b	1168.53	1452.1	1761.95	2788.09	2973.59	3371.58	3259.04	2926.13
ENSMUSG00000001056	Nhp2	2153.5	1569.21	1720.7	1051.96	1015.77	1017.3	796.23	714.82
ENSMUSG00000001062	Vps9d1	823.29	943.51	990.81	1149.31	1174.37	1267.02	1061.55	1011.7
ENSMUSG00000001065	Zfp276	158.45	178.57	259.51	117.95	139.74	139.73	101.74	145.77
ENSMUSG00000001076	C1ql4	16.42	154.54	126.9	6.8	15.25	9.48	8.42	7.27
ENSMUSG00000001082	Mfsd10	641.34	590.42	526.26	407.62	305.1	326.76	223.69	290.66
ENSMUSG00000001089	Luzp1	4739.44	3720.91	3572.99	2297.32	2430.45	2374.16	2994.06	4177.22
ENSMUSG00000001098	Kctd10	186.14	153.62	141.06	183.8	197.32	228.53	188.97	176.71
ENSMUSG00000001100	Poldip2	159.29	162.67	128.76	142.72	148.94	146.84	137.87	111.79
ENSMUSG00000001103	Sebox	0.74	1.14	2.7	199.01	183.03	995.97	3217.08	3776.69
ENSMUSG00000001105	Ift20	1123.64	1155.98	1513.26	1950.92	1918.3	2251.06	2634.3	2626.45
ENSMUSG00000001119	Col6a1	1548.88	4154.12	3045.99	1554.97	1360.33	902.39	699.78	464.44
ENSMUSG00000001120	Pcbp3	1215.8	3472.78	2664.93	6729.76	7168.69	7098.85	9222.83	9046.18
ENSMUSG00000001123	Lgals9	46.1	20.95	26.59	65.2	78.37	90.01	134.5	160.11
ENSMUSG00000001127	Araf	1751.48	2321.79	3053.51	3671.61	3864.76	4182.61	4726.01	4505.05
ENSMUSG00000001128	Cfp	46.27	41.96	86.88	20.09	25.07	27.23	22.67	31.32
ENSMUSG00000001131	Timp1	42.92	12.13	13.63	11.51	12.82	17.77	11.43	12.16
ENSMUSG00000001134	Uxt	895.36	822.47	878.27	554.41	556.49	581.49	317.8	281.71
ENSMUSG00000001138	Cnnm3	485.92	479.22	289.78	318.2	356.35	342.23	310.84	326.62
ENSMUSG00000001143	Lman2l	1260.3	1333.11	808.78	1555.74	1596.08	1206.63	1158.55	1036.49
ENSMUSG00000001150	Mcm3ap	3817.42	3923.13	3225.8	3697.1	4008.27	3126.15	3141.72	2848.91
ENSMUSG00000001151	Pcnt	5201.14	6467.9	7307.79	2351.85	2589.11	2671.66	1979.07	2629.68
ENSMUSG00000001155	Ftcd	5.27	5.34	6.5	2.27	2.33	3.55	2.94	4.8
ENSMUSG00000001156	Mxd1	938.3	1512.68	1418.23	2386.44	2796.85	2284.34	2787.5	3067.39
ENSMUSG00000001157	Gmcl1	90.78	45.08	41.91	35.73	27.73	18.94	28.81	35.9
ENSMUSG00000001158	Snrnp27	25.88	38.95	27.65	48.52	35.69	43.82	23.37	29.12
ENSMUSG00000001166	Oas1c	18.46	32.65	38.76	17.82	30.39	48.54	67.22	87.36
ENSMUSG00000001173	Ocrl	97.29	79.6	57.0	109.84	69.28	271.43	325.63	856.81
ENSMUSG00000001175	Calm1	3812.69	4089.89	3833.85	2794.86	4089.79	1964.97	2700.72	1815.85
ENSMUSG00000001211	Agpat3	1575.59	3537.97	4072.8	14120.79	15682.98	12957.88	16679.59	23047.11
ENSMUSG00000001225	Slc26a3	15.52	16.46	9.69	37.67	24.11	27.24	17.89	18.7
ENSMUSG00000001228	Uhrf1	6862.78	7034.04	4475.15	162.29	277.16	36.71	39.78	9.88
ENSMUSG00000001229	Dpp9	2316.38	2113.01	1489.95	2085.58	2228.25	1464.9	1119.83	1088.85
ENSMUSG00000001240	Ramp2	133.02	53.7	89.27	421.95	344.21	905.91	659.98	429.14
ENSMUSG00000001247	Lsr	428.5	397.21	502.99	224.28	273.66	357.55	277.78	230.5
ENSMUSG00000001248	Gramd1a	868.99	935.73	1470.16	302.6	395.27	298.31	340.31	411.75
ENSMUSG00000001260	Gabrg1	21.8	138.51	260.9	734.3	763.42	839.54	1375.99	1225.16
ENSMUSG00000001270	Ckb	102318.5	148281.04	106657.84	146016.66	152568.18	109668.68	96484.1	102762.9
ENSMUSG00000001280	Sp1	7546.17	6991.97	8134.79	4027.64	3655.21	3170.13	2764.09	2828.42
ENSMUSG00000001281	Itgb7	10.59	1.38	2.74	4.7	2.22	2.37	2.74	0.66
ENSMUSG00000001285	Myg1	2572.49	2428.52	2412.24	1917.81	1771.15	2041.48	1673.78	1565.16
ENSMUSG00000001289	Pfdn5	6148.16	6732.42	6842.24	7010.83	6854.38	8433.21	8270.63	8747.76
ENSMUSG00000001300	Efnb2	102.9	95.2	53.64	61.24	87.87	60.38	43.15	40.29
ENSMUSG00000001305	Rrp15	2208.99	1645.84	2059.68	962.19	890.87	808.74	535.19	539.69
ENSMUSG00000001313	Rnd2	2438.16	4400.77	3856.73	4146.5	4144.38	3282.66	2406.03	1834.28
ENSMUSG00000001323	Srr	875.03	1235.97	1308.41	2170.83	2037.24	2481.97	2630.93	2130.21
ENSMUSG00000001333	Sync	57.31	55.34	48.49	42.77	44.11	36.73	43.76	28.79
ENSMUSG00000001334	Fndc5	341.08	421.93	583.42	860.86	774.55	1338.06	2183.69	3086.8
ENSMUSG00000001348	Acp5	13.31	4.56	6.53	4.37	5.51	9.48	7.46	6.85
ENSMUSG00000001349	Cnn1	8.78	8.04	2.67	4.37	6.69	7.1	7.34	8.24
ENSMUSG00000001366	Fbxo9	90.82	98.05	139.32	114.3	112.39	136.22	91.65	101.78
ENSMUSG00000001376	Vps50	259.52	209.44	219.99	128.64	153.67	82.9	149.75	122.39
ENSMUSG00000001380	Hars	5353.94	4852.87	5286.83	4840.94	4520.44	4660.72	4578.69	4542.27
ENSMUSG00000001383	Zmat2	4865.49	4383.78	5686.44	4153.64	3715.72	4017.64	3412.65	3708.94
ENSMUSG00000001415	Smg5	329.08	253.1	319.48	208.19	168.04	203.7	155.03	156.6
ENSMUSG00000001416	Cct3	1021.54	640.79	737.17	850.2	574.92	526.89	459.79	382.53
ENSMUSG00000001418	Glmp	1267.08	1286.02	1152.31	1244.18	1353.14	1281.37	1283.23	1487.53
ENSMUSG00000001419	Mef2d	193.17	345.19	236.04	1046.56	1186.75	1040.83	1275.91	1427.28
ENSMUSG00000001420	Tmem79	85.91	62.91	71.92	62.79	63.68	52.09	44.12	39.38
ENSMUSG00000001424	Snd1	130.76	87.72	57.36	71.79	68.98	69.91	89.68	88.44
ENSMUSG00000001435	Col18a1	118.98	30.25	33.07	195.19	50.97	248.73	351.16	1247.19
ENSMUSG00000001436	Slc19a1	832.96	1125.94	1075.53	1909.81	1754.34	1732.69	1164.7	977.11
ENSMUSG00000001440	Kpnb1	50153.31	35636.2	28594.56	16513.07	16746.24	13975.25	12652.93	12494.6
ENSMUSG00000001441	Npepps	808.86	761.87	642.58	1476.68	939.08	1478.05	1557.27	2110.82
ENSMUSG00000001444	Tbx21	4.7	25.81	26.14	130.25	123.09	100.66	48.84	30.33
ENSMUSG00000001445	Mrpl10	2241.62	2058.48	2308.75	2334.22	2262.34	2600.53	2573.12	2344.03
ENSMUSG00000001467	Cyp51	15687.55	13289.3	11361.08	4927.09	4912.38	4669.26	4149.56	4226.48
ENSMUSG00000001472	Tcf25	11397.72	13214.13	11569.36	14821.17	15207.44	15601.43	18181.73	20596.94
ENSMUSG00000001473	Tubb6	2098.48	2593.13	2702.63	735.21	944.22	685.64	368.81	261.14
ENSMUSG00000001482	Def8	2731.84	2596.23	2606.63	3820.11	3342.83	3620.02	3165.94	2864.36
ENSMUSG00000001493	Meox1	21.97	16.39	18.03	100.77	106.34	189.46	185.91	80.5
ENSMUSG00000001494	Sost	2.94	0.24	0.56	1.22	0.97	1.18	0.57	0.66
ENSMUSG00000001504	Irx2	2412.3	1144.86	575.9	204.2	178.98	153.92	167.99	258.36
ENSMUSG00000001506	Col1a1	3071.11	146.75	81.69	226.65	49.63	235.68	201.38	273.55
ENSMUSG00000001507	Itga3	108.62	99.57	45.98	370.62	418.72	611.22	188.15	265.37
ENSMUSG00000001510	Dlx3	69.99	159.37	97.59	17.75	31.07	3.55	9.26	8.9
ENSMUSG00000001517	Foxm1	450.27	312.1	353.18	27.94	27.41	10.65	7.03	7.36
ENSMUSG00000001518	Itfg2	167.62	147.49	99.53	176.69	191.29	193.03	154.47	156.77
ENSMUSG00000001520	Nrip2	66.2	67.1	53.01	143.0	115.05	144.48	119.36	157.45
ENSMUSG00000001521	Tulp3	847.39	928.07	1166.53	704.37	938.91	654.8	628.13	579.49
ENSMUSG00000001524	Gtf2h4	44.4	39.88	29.93	16.37	39.62	47.36	39.58	30.11
ENSMUSG00000001525	Tubb5	248755.23	221183.94	186083.67	93317.92	88338.34	75889.8	51176.5	34413.42
ENSMUSG00000001542	Ell2	263.31	132.35	236.73	290.44	306.97	287.73	434.92	471.56
ENSMUSG00000001552	Jup	236.94	190.58	161.52	209.2	177.36	123.21	128.6	147.93
ENSMUSG00000001555	Fkbp10	899.15	347.4	350.1	565.14	576.85	915.35	803.79	581.44
ENSMUSG00000001558	Klhl10	22.42	29.59	28.39	25.28	25.21	26.05	19.73	14.36
ENSMUSG00000001569	Nom1	129.91	142.37	195.07	127.59	134.38	144.49	125.9	122.25
ENSMUSG00000001576	Ergic1	7778.77	6475.83	6556.44	6290.73	5477.82	5316.76	4726.72	4659.51
ENSMUSG00000001583	Tnk1	15.35	9.12	8.22	5.43	5.89	3.55	5.94	7.03
ENSMUSG00000001588	Acap1	6.57	2.82	6.04	4.54	3.71	9.47	7.22	2.56
ENSMUSG00000001627	Ifrd1	1675.99	1777.63	3291.8	2275.06	2222.59	2173.97	1788.06	1615.39
ENSMUSG00000001630	Stk38l	138.91	164.49	215.27	197.48	277.76	194.13	266.42	282.37
ENSMUSG00000001632	Brpf1	2424.69	2514.05	2918.58	2504.08	2318.51	2175.51	1617.32	1806.92
ENSMUSG00000001642	Akr1b3	27.24	18.8	37.7	6.48	14.64	8.29	13.94	14.67
ENSMUSG00000001657	Hoxc8	2.49	3.24	2.18	2.27	0.86	2.37	3.07	2.2
ENSMUSG00000001663	Gstt1	85.96	103.66	132.2	108.95	107.74	310.25	984.33	1182.85
ENSMUSG00000001665	Gstt3	16.99	4.44	9.66	23.74	15.91	60.4	128.65	206.31
ENSMUSG00000001666	Ddt	744.51	929.38	1036.07	991.11	1037.41	1198.38	1494.65	1744.75
ENSMUSG00000001672	Marveld3	5.44	15.25	14.16	16.21	12.42	22.51	69.34	215.56
ENSMUSG00000001674	Ddx18	65.69	79.16	67.27	31.52	64.37	43.81	80.17	62.14
ENSMUSG00000001687	Ubl3	867.27	968.94	917.57	1353.69	1366.52	1431.74	1616.4	2162.24
ENSMUSG00000001700	Gramd3	400.53	216.09	222.73	186.89	221.09	226.18	271.29	233.43
ENSMUSG00000001707	Eef1e1	2876.06	2749.75	3030.96	2990.09	2744.18	3000.84	2625.34	2373.56
ENSMUSG00000001729	Akt1	12693.87	10090.69	10228.49	9312.34	9127.81	7740.81	5643.33	5372.03
ENSMUSG00000001739	Cldn15	11.1	5.1	7.13	10.45	5.08	10.66	12.63	9.23
ENSMUSG00000001741	Il16	52.55	17.59	12.54	58.18	58.21	56.84	70.3	36.85
ENSMUSG00000001750	Tcirg1	104.49	28.04	23.4	24.23	17.63	55.7	20.98	19.14
ENSMUSG00000001751	Naglu	587.59	898.46	665.41	887.68	852.77	909.5	936.13	957.44
ENSMUSG00000001755	Coasy	1892.61	1822.69	1804.69	1558.85	1613.21	1686.38	1418.91	1349.16
ENSMUSG00000001761	Smo	11337.62	8462.96	7422.72	2995.07	3016.57	2156.38	1517.16	1397.01
ENSMUSG00000001763	Tspan33	90.09	101.58	67.73	120.22	135.08	84.12	126.58	123.01
ENSMUSG00000001767	Crnkl1	3810.72	4024.83	4575.88	3969.16	3956.97	3699.39	3300.05	3046.73
ENSMUSG00000001768	Rin2	1186.44	1187.09	1372.25	1005.15	1008.43	941.45	1198.63	1599.83
ENSMUSG00000001773	Folh1	5.27	0.24	2.18	4.21	3.51	105.38	621.47	1266.88
