seqnames	start	end	width	chip.r90w.lfc	chip.r90w.fdr	chip_group	strand	gene	distTSS	peak.id	p21.rhom.lfc	p21.rhom.padj	rna_group
chr1	155111617	155112017	401	-3.760886822	9.49e-06	Lost	*	Ier5	-12181.0	peak.430	0.405326835497282	0.0119708418243123	No Change
chr1	156927082	156927482	401	-2.593607595	0.000258753	Lost	*	Ralgps2	12105.0	peak.449	-0.0966015992294552	0.498126610430511	No Change
chr1	134066889	134067289	401	-1.981907392	0.00907986	Lost	*	Btg2	12031.0	peak.355	0.365333834279192	0.0019215898753053	No Change
chr1	36523577	36523977	401	-2.007286401	0.009733642	Lost	*	Cnnm3	11910.0	peak.56	0.399040304271323	0.0945928104611589	No Change
chr1	161968885	161969285	401	-2.341775139	0.001821379	Lost	*	Pigc	-143.0	peak.465	-0.151573958658995	0.340051658764456	No Change
chr1	181980402	181980802	401	-2.090687818	0.002225904	Lost	*	Enah	39059.0	peak.562	-0.0983844245891116	0.415602082077517	No Change
chr1	58961490	58961890	401	-2.260945876	0.001680548	Lost	*	Trak2	11740.0	peak.115	0.139432276277454	0.640557026864787	No Change
chr1	36709941	36710341	401	-1.750771041	0.008800054	Lost	*	Actr1b	-133.0	peak.60	-0.0005638055493751	0.987151712796305	No Change
chr1	173295660	173296060	401	-2.130691987	0.005220376	Lost	*	Ackr1	37642.0	peak.522	0.32811981964696	0.0003856737950369	No Change
chr1	86526350	86526750	401	-2.343228787	0.00114038	Lost	*	Ptma	-176.0	peak.242	-0.0429540512340438	0.910068403213556	No Change
chr1	189688064	189688464	401	-2.248529987	0.003654328	Lost	*	Cenpf	-178.0	peak.586	-0.0850265714594396	0.794081833671492	No Change
chr1	65178761	65179161	401	-3.016261047	0.000412681	Lost	*	Idh1	220.0	peak.147	0.599033369400818	0.072302311113818	No Change
chr1	44594000	44594400	401	-2.482039197	0.000290122	Lost	*	Gulp1	42689.0	peak.81	0.633968234368102	4.74931194713956e-13	Gained
chr1	86535695	86536095	401	-2.474945196	0.001462549	Lost	*	Ptma	9169.0	peak.243	-0.0429540512340438	0.910068403213556	No Change
chr1	135210264	135210664	401	-2.267364204	0.003203076	Lost	*	Gpr37l1	-42783.0	peak.374	0.0350950141496135	0.926748668895693	No Change
chr1	180841893	180842293	401	-2.874272511	1.96e-05	Lost	*	Sde2	-9034.0	peak.558	0.156845066180732	0.287420421937922	No Change
chr1	66364370	66364770	401	-2.995995339	1.03e-05	Lost	*	Map2	42851.0	peak.154	0.266528065970543	0.0715303959580428	No Change
chr1	136140183	136140583	401	-1.498258555	0.030188695	Lost	*	Kif21b	8994.0	peak.386	-1.1094593465034	3.74492376115814e-15	Lost
chr1	80256670	80257070	401	-2.557528083	0.001234272	Lost	*	Fam124b	-42926.0	peak.214	0.0462105763022082	0.882499447912817	No Change
chr1	93333673	93334073	401	-2.187086593	0.005097959	Lost	*	Pask	8916.0	peak.274	-0.448720178734958	0.0119751503818392	No Change
chr1	183149582	183149982	401	-2.52405543	0.000539814	Lost	*	Disp1	71703.0	peak.566	0.140429653884595	0.371399660872919	No Change
chr1	189719286	189719686	401	-2.432553892	0.001407327	Lost	*	Ptpn14	-8782.0	peak.587	0.372274076137716	0.14959624704777	No Change
chr1	74295404	74295804	401	-2.071962337	0.002571806	Lost	*	Tmbim1	8757.0	peak.176	0.775989711029534	8.59741163539251e-06	Gained
chr1	45795211	45795611	401	-1.832636444	0.011527401	Lost	*	Wdr75	245.0	peak.83	0.0434919084841452	0.913091918565213	No Change
chr1	136354655	136355055	401	-2.197968094	0.000889457	Lost	*	Camsap2	-8751.0	peak.390	0.177676546548947	0.3944089884237	No Change
chr1	134503008	134503408	401	-2.745582059	7.59e-05	Lost	*	Rabif	8560.0	peak.363	-0.164301315304355	0.345822362704042	No Change
chr1	179803732	179804132	401	-2.688680814	0.000115556	Lost	*	Ahctf1	-252.0	peak.549	0.0012662646782195	0.997205327416484	No Change
chr1	191777566	191777966	401	-2.673286442	4.75e-05	Lost	*	Nek2	-43678.0	peak.597	-0.0022209269949603	0.99566448272355	No Change
chr1	65186296	65186696	401	-2.901829544	0.000196751	Lost	*	Pikfyve	-254.0	peak.149	-0.221998588276911	0.281885183273006	No Change
chr1	130715751	130716151	401	-2.459414632	0.001288405	Lost	*	Pfkfb2	-217.0	peak.325	-2.07861311973015	1.40178694600091e-65	Lost
chr1	161034864	161035264	401	-2.133056653	0.002713919	Lost	*	Zbtb37	-215.0	peak.460	-0.152039110456202	0.0719798317800889	No Change
chr1	74284660	74285060	401	-1.838036794	0.008563386	Lost	*	Aamp	-180.0	peak.175	0.0110507581673059	0.978439658507228	No Change
chr1	156036047	156036447	401	-1.809409566	0.008193799	Lost	*	Tor1aip1	180.0	peak.445	-0.043443487357578	0.857550460364116	No Change
chr1	128102619	128103019	401	-2.758031225	7.36e-05	Lost	*	Zranb3	182.0	peak.315	-0.0398821208955225	0.912005451036594	No Change
chr1	167298170	167298570	401	-1.67184274	0.027629209	Lost	*	Tmco1	-10008.0	peak.484	0.221553246448273	0.102783987173876	No Change
chr1	191967203	191967603	401	-2.146385689	0.002001329	Lost	*	Rd3	-9967.0	peak.602	-0.164296294047626	0.112093668553924	No Change
chr1	153487600	153488000	401	-1.992692359	0.009079889	Lost	*	Dhx9	-192.0	peak.426	-0.0990534983216681	0.767461213620647	No Change
chr1	152583024	152583424	401	-2.362473245	0.002056469	Lost	*	Rgl1	41993.0	peak.423	0.0572465391976949	0.837759852555464	No Change
chr1	143739164	143739564	401	-1.576993459	0.032179678	Lost	*	Glrx2	-193.0	peak.406	-0.166220697162904	0.0960544016169695	No Change
chr1	191896823	191897223	401	-1.888765388	0.008305581	Lost	*	Slc30a1	-9744.0	peak.601	0.186676031834725	0.264629439963397	No Change
chr1	131527526	131527926	401	-2.163206648	0.012992668	Lost	*	Fam72a	-177.0	peak.332	-0.107677917831233	0.720435244630851	No Change
chr1	135595227	135595627	401	-3.202901222	6.35e-05	Lost	*	Nav1	-9722.0	peak.378	-0.131469124730007	0.425783454457872	No Change
chr1	80413695	80414095	401	-3.532496341	1.43e-05	Lost	*	Cul3	-73415.0	peak.216	-0.234191490413516	0.0866156848796895	No Change
chr1	151754971	151755371	401	-2.46070551	0.001136447	Lost	*	Edem3	-203.0	peak.419	-0.0110368498356719	0.978309247500566	No Change
chr1	192128349	192128749	401	-2.060529519	0.003170818	Lost	*	Rcor3	9513.0	peak.606	0.0746132539330525	0.80996135007947	No Change
chr1	135627750	135628150	401	-2.382955811	0.000577776	Lost	*	Nav1	-42245.0	peak.380	-0.131469124730007	0.425783454457872	No Change
chr1	167350001	167350401	401	-1.789739968	0.012481562	Lost	*	Aldh9a1	210.0	peak.485	-0.100920389853071	0.712001509886781	No Change
chr1	161885855	161886255	401	-2.395451359	0.000400792	Lost	*	Suco	-9373.0	peak.464	0.0335993072206588	0.934488957486612	No Change
chr1	92180355	92180755	401	-2.602097714	0.000417241	Lost	*	Hdac4	-214.0	peak.270	-0.0508022067455187	0.86218263452458	No Change
chr1	161260660	161261060	401	-2.106876565	0.004783727	Lost	*	Prdx6	-9641.0	peak.462	0.365812308222105	0.0219716311748669	No Change
chr1	86064163	86064563	401	-2.092758447	0.001690035	Lost	*	Psmd1	-256.0	peak.235	-0.0438349347147404	0.878149209094506	No Change
chr1	10024763	10025163	401	-2.491301965	0.000189416	Lost	*	Cops5	13164.0	peak.17	0.0089870059972969	0.961968091661187	No Change
chr1	72748529	72748929	401	-3.166228471	4.21e-05	Lost	*	Rpl37a	37439.0	peak.171	-0.163457967863003	0.569158803198502	No Change
chr1	181985884	181986284	401	-1.716631042	0.008684217	Lost	*	Enah	33577.0	peak.563	-0.0983844245891116	0.415602082077517	No Change
chr1	97644428	97644828	401	-3.208658712	5.86e-06	Lost	*	D1Ertd622e	17446.0	peak.285	-0.899830241172385	7.97013432953717e-13	Lost
chr1	93635598	93635998	401	-1.884549591	0.007593	Lost	*	Stk25	-76.0	peak.279	-0.032920916511536	0.840397152472061	No Change
chr1	86359277	86359677	401	-2.597781632	0.000683491	Lost	*	Ncl	-77.0	peak.239	-0.177995540615646	0.205696719078486	No Change
chr1	51478277	51478677	401	-1.504673492	0.0376766	Lost	*	Nabp1	-78.0	peak.87	-0.188104177484152	0.4500663841454	No Change
chr1	34866817	34867217	401	-2.618522832	9.35e-05	Lost	*	Plekhb2	17025.0	peak.51	-0.0555872300680739	0.855588501771639	No Change
chr1	171329023	171329423	401	-2.716921394	0.001579886	Lost	*	Dedd	78.0	peak.512	-0.225406374881001	0.208772269973257	No Change
chr1	133715516	133715916	401	-2.884906106	0.000363858	Lost	*	Atp2b4	85325.0	peak.351	-0.312655711838819	0.0500165962955862	No Change
chr1	16656920	16657320	401	-2.130222215	0.002068318	Lost	*	Eloc	-82.0	peak.30	-0.0773077986456243	0.687891015293828	No Change
chr1	93669951	93670351	401	-3.033217916	2.25e-05	Lost	*	Stk25	-34429.0	peak.280	-0.032920916511536	0.840397152472061	No Change
chr1	58602471	58602871	401	-3.102385653	4.32e-05	Lost	*	Ndufb3	16287.0	peak.110	-0.210606476293518	0.208898861452201	No Change
chr1	180195904	180196304	401	-3.341614509	2.8e-05	Lost	*	Coq8a	-84.0	peak.550	0.0872887809698096	0.773513250341883	No Change
chr1	162554161	162554561	401	-2.504627594	0.000236714	Lost	*	Vamp4	-16154.0	peak.468	0.134214766402746	0.576502162385407	No Change
chr1	80424651	80425051	401	-2.946445351	2.1e-05	Lost	*	Cul3	-84371.0	peak.217	-0.234191490413516	0.0866156848796895	No Change
chr1	72391579	72391979	401	-1.328535603	0.039085101	Lost	*	Xrcc5	84358.0	peak.166	0.09649755077936	0.675510181520556	No Change
chr1	162460337	162460737	401	-2.359961336	0.001038205	Lost	*	Dnm3	17497.0	peak.467	-0.177782611157226	0.306485450751864	No Change
chr1	39444995	39445395	401	-2.381674422	0.000940439	Lost	*	Tbc1d8	33560.0	peak.70	-0.134907213814343	0.579177400686782	No Change
chr1	36492459	36492859	401	-2.249100754	0.001175723	Lost	*	Cnnm3	-19208.0	peak.55	0.399040304271323	0.0945928104611589	No Change
chr1	153685394	153685794	401	-2.373618357	0.001459115	Lost	*	Rgs8	32569.0	peak.427	-0.0715848910072429	0.813319340004488	No Change
chr1	134796449	134796849	401	-1.741756134	0.010295364	Lost	*	Syt2	87349.0	peak.367	-0.24378987618563	0.30051502346421	No Change
chr1	131078687	131079087	401	-2.746918702	0.00031551	Lost	*	Mapkapk2	18939.0	peak.328	-1.08961058172577	0.032822813169867	No Change
chr1	80427504	80427904	401	-2.845936975	2.38e-05	Lost	*	Cul3	-87224.0	peak.218	-0.234191490413516	0.0866156848796895	No Change
chr1	132477104	132477504	401	-2.293041812	0.001961922	Lost	*	Rbbp5	-63.0	peak.339	-0.0381273688002222	0.89805350505975	No Change
chr1	187964810	187965210	401	-2.71272787	0.000435329	Lost	*	Esrrg	-32817.0	peak.576	0.0568531668541771	0.868174475310183	No Change
chr1	155191501	155191901	401	-2.018072558	0.00250322	Lost	*	Stx6	32986.0	peak.431	0.450539158996962	0.0014414714660354	No Change
chr1	66782409	66782809	401	-1.884088101	0.003565476	Lost	*	Kansl1l	34937.0	peak.158	0.547978363795873	8.73628020976514e-06	No Change
chr1	192277741	192278141	401	-3.201098931	6.82e-05	Lost	*	Kcnh1	87167.0	peak.607	0.460508818276603	0.0988396390352378	No Change
chr1	5070152	5070552	401	-3.447967286	2.49e-06	Lost	*	Rgs20	-67.0	peak.10	-2.5021433648633	5.47433414627323e-47	Lost
chr1	66339695	66340095	401	-2.278831636	0.000291028	Lost	*	Map2	18176.0	peak.153	0.266528065970543	0.0715303959580428	No Change
chr1	134060887	134061287	401	-1.983318849	0.003765619	Lost	*	Btg2	18033.0	peak.352	0.365333834279192	0.0019215898753053	No Change
chr1	106008148	106008548	401	-2.847733032	0.000118469	Lost	*	Zcchc2	17942.0	peak.289	-0.221637258471602	0.11015555463523	No Change
chr1	75521259	75521659	401	-2.550503405	0.000807365	Lost	*	Stk11ip	-70.0	peak.192	-0.144392808874532	0.290491576540535	No Change
chr1	176814531	176814931	401	-2.609244075	0.000409131	Lost	*	Sdccag8	71.0	peak.533	0.0185040437690402	0.963969615886106	No Change
chr1	119837486	119837886	401	-2.436607966	0.001122351	Lost	*	Ptpn4	-73.0	peak.303	-0.122159256197746	0.677103206694607	No Change
chr1	131115923	131116323	401	-2.021647897	0.006113054	Lost	*	Mapkapk2	-18297.0	peak.329	-1.08961058172577	0.032822813169867	No Change
chr1	134272844	134273244	401	-2.315902773	0.000456118	Lost	*	Adora1	-37613.0	peak.359	-0.0952872610083093	0.680925894770664	No Change
chr1	134439563	134439963	401	-4.3484094	2.35e-06	Lost	*	Klhl12	-15768.0	peak.362	-0.21990792905512	0.349596788607037	No Change
chr1	168350699	168351099	401	-3.145259899	0.00013571	Lost	*	Pbx1	80998.0	peak.492	-0.157342676359421	0.366999089314766	No Change
chr1	59684705	59685105	401	-1.69475927	0.011473512	Lost	*	Nop58	-104.0	peak.123	-0.137537371781227	0.218395341979015	No Change
chr1	133661223	133661623	401	-2.072737903	0.003728921	Lost	*	Gm38394	-105.0	peak.350	-0.128078523835672	0.382133792645826	No Change
chr1	66831216	66831616	401	-2.36904227	0.000269526	Lost	*	Kansl1l	-13870.0	peak.159	0.547978363795873	8.73628020976514e-06	No Change
chr1	136017661	136018061	401	-2.973552549	0.000148116	Lost	*	Tmem9	-106.0	peak.382	-0.252168579868152	0.325099679269874	No Change
chr1	118389149	118389549	401	-2.785304556	3.09e-05	Lost	*	Clasp1	-107.0	peak.295	-0.206751805786621	0.0932628643664563	No Change
chr1	119648843	119649243	401	-2.35218863	0.000839307	Lost	*	Epb41l5	-107.0	peak.300	-1.12193945577369	3.9546094027726e-07	Lost
chr1	60097816	60098216	401	-2.355865084	0.001318719	Lost	*	Wdr12	-108.0	peak.124	0.403930130189771	0.0022270238843107	No Change
chr1	194700462	194700862	401	-2.929852727	3.06e-05	Lost	*	Plxna2	80837.0	peak.618	-0.119133227119718	0.69445384224267	No Change
chr1	36547134	36547534	401	-2.053085037	0.004380241	Lost	*	Ankrd39	111.0	peak.57	-0.0129134042337936	0.973973726630277	No Change
chr1	130701916	130702316	401	-4.442494745	5.66e-07	Lost	*	Pfkfb2	13618.0	peak.323	-2.07861311973015	1.40178694600091e-65	Lost
chr1	86141087	86141487	401	-2.519118735	0.000242474	Lost	*	Armc9	-13511.0	peak.237	-0.561040831663445	1.21717333771987e-06	No Change
chr1	171247035	171247435	401	-1.785528939	0.009304765	Lost	*	Ndufs2	-113.0	peak.511	-2.41231642929462	6.76801213798165e-68	Lost
chr1	157449770	157450170	401	-2.686515473	0.000354587	Lost	*	Rasal2	-37375.0	peak.453	-0.485808305005016	0.0121561958172747	No Change
chr1	75126859	75127259	401	-1.869480138	0.004315512	Lost	*	Nhej1	-80420.0	peak.187	0.100090083360113	0.751749454643326	No Change
chr1	75463760	75464160	401	-2.392616053	0.000222688	Lost	*	Asic4	13261.0	peak.191	0.270335440109277	0.0574177051296885	No Change
chr1	180520687	180521087	401	-2.105111334	0.017750167	Lost	*	Stum	-37420.0	peak.554	-0.02550536561463	0.947504329695948	No Change
chr1	74587996	74588396	401	-1.917066542	0.035136437	Lost	*	Bcs1l	-104.0	peak.179	0.0951903254296187	0.767379294710162	No Change
chr1	66686387	66686787	401	-2.908956278	4.12e-05	Lost	*	Rpe	-14244.0	peak.157	-0.194811931731008	0.194445143293785	No Change
chr1	155777595	155777995	401	-2.769627781	0.000193003	Lost	*	Qsox1	35094.0	peak.442	0.821597779143825	1.85876686569368e-11	Gained
chr1	64568115	64568515	401	-1.887308003	0.004616276	Lost	*	Creb1	35506.0	peak.141	0.030303207774604	0.936949963691175	No Change
chr1	136032925	136033325	401	-3.484346067	1.57e-06	Lost	*	Tmem9	15158.0	peak.383	-0.252168579868152	0.325099679269874	No Change
chr1	180604555	180604955	401	-1.888321658	0.007503622	Lost	*	Parp1	35826.0	peak.555	0.235669954119366	0.389628407274656	No Change
chr1	92641877	92642277	401	-3.110080345	0.000145777	Lost	*	Cops9	-92.0	peak.271	-0.323755792424375	0.0657639945548017	No Change
chr1	36244198	36244598	401	-2.467383337	0.000902089	Lost	*	Uggt1	-93.0	peak.53	-0.0075694157220279	0.984435424740265	No Change
chr1	24005550	24005950	401	-3.253670024	3.76e-05	Lost	*	Sdhaf4	-94.0	peak.35	-0.351220364928283	0.0402847938839154	No Change
chr1	9545121	9545521	401	-2.504786626	0.000414508	Lost	*	Rrs1	-87.0	peak.12	0.0015800053233737	0.997205327416484	No Change
chr1	155232445	155232845	401	-2.754820632	8.14e-05	Lost	*	BC034090	95.0	peak.433	0.115835749199493	0.177054185101849	No Change
chr1	64547391	64547791	401	-2.375650579	0.000876442	Lost	*	Creb1	14782.0	peak.140	0.030303207774604	0.936949963691175	No Change
chr1	170867668	170868068	401	-2.381110456	0.0012072	Lost	*	Atf6	-97.0	peak.504	-0.0654864911506867	0.820570372374515	No Change
chr1	134167498	134167898	401	-2.86571634	0.000294384	Lost	*	Chil1	-14706.0	peak.357	0.0913531415386315	0.757853844973895	No Change
chr1	191821147	191821547	401	-2.696742446	0.000406005	Lost	*	Nek2	-97.0	peak.600	-0.0022209269949603	0.99566448272355	No Change
chr1	93620844	93621244	401	-1.608153331	0.033639795	Lost	*	Stk25	14678.0	peak.277	-0.032920916511536	0.840397152472061	No Change
chr1	106745089	106745489	401	-3.082183821	3.51e-05	Lost	*	Kdsr	14438.0	peak.292	-0.089172023925242	0.606899596781949	No Change
chr1	193186965	193187365	401	-2.676702874	0.00178321	Lost	*	Traf3ip3	14382.0	peak.613	-3.15195610585263	9.58098852148928e-38	Lost
chr1	9982079	9982479	401	-2.747450409	0.00024593	Lost	*	Tcf24	-14347.0	peak.15	0.579339820770206	0.04332340081001	No Change
chr1	172683569	172683969	401	-2.015891146	0.000878389	Lost	*	Crp	-14286.0	peak.520	0.153369238352316	0.603863004993739	No Change
chr1	171411017	171411417	401	-1.910473431	0.005346968	Lost	*	Usf1	-96.0	peak.513	-0.109655232607188	0.555974006717081	No Change
chr1	78488926	78489326	401	-2.604850547	0.00047478	Lost	*	Farsb	-267.0	peak.209	0.878263546419056	0.0012869238709813	No Change
chr1	89922818	89923218	401	-2.959022374	0.000128765	Lost	*	Gbx2	8161.0	peak.263	0.070130928680235	0.828847331591552	No Change
chr1	134955926	134956326	401	-2.582580131	0.00053113	Lost	*	Ppp1r12b	-275.0	peak.371	-0.26426970820176	0.229842005783026	No Change
chr1	170214231	170214631	401	-1.776809817	0.011016293	Lost	*	Uhmk1	966.0	peak.499	-0.209448012902458	0.159538756839864	No Change
chr1	170175735	170176135	401	-3.388848177	1.67e-05	Lost	*	Uap1	-989.0	peak.496	-0.38420465390476	7.84997773771371e-05	No Change
chr1	132414008	132414408	401	-2.687134994	0.000149298	Lost	*	Dstyk	-3347.0	peak.338	0.102547275166828	0.740125188970384	No Change
chr1	136007156	136007556	401	-2.372728076	0.000234698	Lost	*	Igfn1	-1014.0	peak.381	1.88992248195064	3.6608323114952e-40	Gained
chr1	43095105	43095505	401	-2.749188033	0.000237124	Lost	*	Tgfbrap1	3317.0	peak.79	-0.1343828752946	0.362531292987048	No Change
chr1	84838074	84838474	401	-3.039746161	0.000118469	Lost	*	Trip12	1030.0	peak.232	-0.242010206636734	0.223914778021185	No Change
chr1	34739922	34740322	401	-1.599831916	0.031732973	Lost	*	Arhgef4	-61582.0	peak.48	0.19982986515054	0.227062076043697	No Change
chr1	136563135	136563535	401	-2.836196638	5.87e-05	Lost	*	Zfp281	-61566.0	peak.394	-0.0791951627976753	0.806154345054321	No Change
chr1	16108868	16109268	401	-2.958739245	1.92e-05	Lost	*	Rdh10	3294.0	peak.28	0.219450187586254	0.16366810240595	No Change
chr1	133042525	133042925	401	-1.92581216	0.014238983	Lost	*	Pik3c2b	-3287.0	peak.345	0.216008738565667	0.269083785025107	No Change
chr1	58969959	58970359	401	-2.37621486	0.001843826	Lost	*	Trak2	3271.0	peak.116	0.139432276277454	0.640557026864787	No Change
chr1	36064931	36065331	401	-2.538268502	0.000284688	Lost	*	Hs6st1	-3269.0	peak.52	0.123665124920789	0.48903000102977	No Change
chr1	130712302	130712702	401	-3.351256482	8.63e-06	Lost	*	Pfkfb2	3232.0	peak.324	-2.07861311973015	1.40178694600091e-65	Lost
chr1	178334406	178334806	401	-2.839741965	8.02e-05	Lost	*	Hnrnpu	3191.0	peak.543	-0.126095899437652	0.10391597592456	No Change
chr1	60569724	60570124	401	-3.476335757	1.27e-05	Lost	*	Raph1	-3145.0	peak.128	-0.519958546833986	6.068304734386061e-09	No Change
chr1	155235651	155236051	401	-2.98390256	4.3e-05	Lost	*	BC034090	-3111.0	peak.434	0.115835749199493	0.177054185101849	No Change
chr1	150322187	150322587	401	-2.764899322	0.00012035	Lost	*	Pdc	2970.0	peak.412	-0.558137227278362	1.82377407895115e-08	No Change
chr1	180329327	180329727	401	-2.276795849	0.003804101	Lost	*	Itpkb	-958.0	peak.551	0.394648832452426	0.0581286972160023	No Change
chr1	156834822	156835222	401	-2.821744894	0.000158043	Lost	*	Angptl1	-3540.0	peak.448	-0.274014684444292	0.30865270099807	No Change
chr1	65179918	65180318	401	-2.483014791	0.000731393	Lost	*	Idh1	-937.0	peak.148	0.599033369400818	0.072302311113818	No Change
chr1	39963837	39964237	401	-1.858613697	0.009237657	Lost	*	Map4k4	62858.0	peak.77	0.12981599372715	0.218580385228997	No Change
chr1	74858889	74859289	401	-2.714628526	5.44e-05	Lost	*	Cdk5r2	4155.0	peak.185	-0.301109307814111	0.0773587613714345	No Change
chr1	178401770	178402170	401	-2.199286548	0.003516225	Lost	*	Efcab2	-4133.0	peak.545	0.181042243684338	0.357944684483957	No Change
chr1	172202568	172202968	401	-3.056248941	5.63e-05	Lost	*	Pea15a	4036.0	peak.516	-0.0666356096860333	0.753306082079898	No Change
chr1	37541629	37542029	401	-2.303494609	0.000736444	Lost	*	Mgat4a	-813.0	peak.63	0.0174195664752322	0.959088169893159	No Change
chr1	37214204	37214604	401	-1.977393126	0.003516225	Lost	*	Cnga3	-3975.0	peak.61	-0.889180489156041	2.43280377992483e-07	Lost
chr1	194990991	194991391	401	-2.338846769	0.000300552	Lost	*	Cd34	52372.0	peak.620	0.553629514134136	0.0064224383356705	No Change
chr1	167389811	167390211	401	-1.718573904	0.032484696	Lost	*	Mgst3	3830.0	peak.487	-0.11008781812227	0.679703582788812	No Change
chr1	74850986	74851386	401	-2.688843064	0.014751192	Lost	*	Cdk5r2	-3748.0	peak.184	-0.301109307814111	0.0773587613714345	No Change
chr1	52634241	52634641	401	-1.566645117	0.029701916	Lost	*	Nemp2	3738.0	peak.93	0.0637503409096803	0.82440926552435	No Change
