gene	GENEID	Name	rna_group
Rnf165	ENSMUSG00000025427	ring finger protein 165(Rnf165)	Gained
Glb1l2	ENSMUSG00000036395	galactosidase, beta 1-like 2(Glb1l2)	Gained
Plcd1	ENSMUSG00000010660	phospholipase C, delta 1(Plcd1)	Gained
Abhd17a	ENSMUSG00000003346	abhydrolase domain containing 17A(Abhd17a)	Gained
Grid1	ENSMUSG00000041078	glutamate receptor, ionotropic, delta 1(Grid1)	Gained
Tac4	ENSMUSG00000020872	tachykinin 4(Tac4)	Gained
Ndrg3	ENSMUSG00000027634	N-myc downstream regulated gene 3(Ndrg3)	Gained
Kcng4	ENSMUSG00000045246	potassium voltage-gated channel, subfamily G, member 4(Kcng4)	Gained
Hook1	ENSMUSG00000028572	hook microtubule tethering protein 1(Hook1)	Gained
Uhrf1bp1l	ENSMUSG00000019951	UHRF1 (ICBP90) binding protein 1-like(Uhrf1bp1l)	Gained
Glis1	ENSMUSG00000034762	GLIS family zinc finger 1(Glis1)	Gained
Mex3b	ENSMUSG00000057706	mex3 RNA binding family member B(Mex3b)	Gained
Mzb1	ENSMUSG00000024353	marginal zone B and B1 cell-specific protein 1(Mzb1)	Gained
Slc23a2	ENSMUSG00000027340	solute carrier family 23 (nucleobase transporters), member 2(Slc23a2)	Gained
Pwwp2b	ENSMUSG00000060260	PWWP domain containing 2B(Pwwp2b)	Gained
Slc16a5	ENSMUSG00000045775	solute carrier family 16 (monocarboxylic acid transporters), member 5(Slc16a5)	Gained
Pik3ap1	ENSMUSG00000025017	phosphoinositide-3-kinase adaptor protein 1(Pik3ap1)	Gained
Ppa2	ENSMUSG00000028013	pyrophosphatase (inorganic) 2(Ppa2)	Gained
Epb41	ENSMUSG00000028906	erythrocyte membrane protein band 4.1(Epb41)	Gained
Papolb	ENSMUSG00000074817	poly (A) polymerase beta (testis specific)(Papolb)	Gained
Slc1a5	ENSMUSG00000001918	solute carrier family 1 (neutral amino acid transporter), member 5(Slc1a5)	Gained
Rab43	ENSMUSG00000030055	RAB43, member RAS oncogene family(Rab43)	Gained
Timp3	ENSMUSG00000020044	tissue inhibitor of metalloproteinase 3(Timp3)	Gained
Gng13	ENSMUSG00000025739	guanine nucleotide binding protein (G protein), gamma 13(Gng13)	Gained
Ap1s1	ENSMUSG00000004849	adaptor protein complex AP-1, sigma 1(Ap1s1)	Gained
Ece1	ENSMUSG00000057530	endothelin converting enzyme 1(Ece1)	Gained
Acvr1	ENSMUSG00000026836	activin A receptor, type 1(Acvr1)	Gained
Ablim1	ENSMUSG00000025085	actin-binding LIM protein 1(Ablim1)	Gained
Hmgn2	ENSMUSG00000003038	high mobility group nucleosomal binding domain 2(Hmgn2)	Gained
Adora1	ENSMUSG00000042429	adenosine A1 receptor(Adora1)	Gained
Asic4	ENSMUSG00000033007	acid-sensing (proton-gated) ion channel family member 4(Asic4)	Gained
Ces2b	ENSMUSG00000050097	carboxyesterase 2B(Ces2b)	Gained
Kif11	ENSMUSG00000012443	kinesin family member 11(Kif11)	Gained
Ccdc171	ENSMUSG00000052407	coiled-coil domain containing 171(Ccdc171)	Gained
Prr7	ENSMUSG00000034686	proline rich 7 (synaptic)(Prr7)	Gained
Mtus1	ENSMUSG00000045636	mitochondrial tumor suppressor 1(Mtus1)	Gained
Nbl1	ENSMUSG00000041120	NBL1, DAN family BMP antagonist(Nbl1)	Gained
Pank4	ENSMUSG00000029056	pantothenate kinase 4(Pank4)	Gained
Lrrc4	ENSMUSG00000049939	leucine rich repeat containing 4(Lrrc4)	Gained
Ammecr1	ENSMUSG00000042225	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1(Ammecr1)	Gained
Grm7	ENSMUSG00000056755	glutamate receptor, metabotropic 7(Grm7)	Gained
Unc119	ENSMUSG00000002058	unc-119 lipid binding chaperone(Unc119)	Gained
Boc	ENSMUSG00000022687	biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) binding protein(Boc)	Gained
Epha10	ENSMUSG00000028876	Eph receptor A10(Epha10)	Gained
Rtn4rl1	ENSMUSG00000045287	reticulon 4 receptor-like 1(Rtn4rl1)	Gained
Fezf2	ENSMUSG00000021743	Fez family zinc finger 2(Fezf2)	Gained
Ubr4	ENSMUSG00000066036	ubiquitin protein ligase E3 component n-recognin 4(Ubr4)	Gained
Crp	ENSMUSG00000037942	C-reactive protein, pentraxin-related(Crp)	Gained
Rab37	ENSMUSG00000020732	RAB37, member RAS oncogene family(Rab37)	Gained
Ccng2	ENSMUSG00000029385	cyclin G2(Ccng2)	Gained
Camk2n1	ENSMUSG00000046447	calcium/calmodulin-dependent protein kinase II inhibitor 1(Camk2n1)	Gained
Tle3	ENSMUSG00000032280	transducin-like enhancer of split 3(Tle3)	Gained
Psd2	ENSMUSG00000024347	pleckstrin and Sec7 domain containing 2(Psd2)	Gained
Chil1	ENSMUSG00000064246	chitinase-like 1(Chil1)	Gained
Vip	ENSMUSG00000019772	vasoactive intestinal polypeptide(Vip)	Gained
Tmcc2	ENSMUSG00000042066	transmembrane and coiled-coil domains 2(Tmcc2)	Lost
Cyp26c1	ENSMUSG00000062432	cytochrome P450, family 26, subfamily c, polypeptide 1(Cyp26c1)	Lost
Vopp1	ENSMUSG00000037788	vesicular, overexpressed in cancer, prosurvival protein 1(Vopp1)	Lost
Xrra1	ENSMUSG00000035211	X-ray radiation resistance associated 1(Xrra1)	Lost
Gzmm	ENSMUSG00000054206	granzyme M (lymphocyte met-ase 1)(Gzmm)	Lost
Hk1	ENSMUSG00000037012	hexokinase 1(Hk1)	Lost
Pex5l	ENSMUSG00000027674	peroxisomal biogenesis factor 5-like(Pex5l)	Lost
Aipl1	ENSMUSG00000040554	aryl hydrocarbon receptor-interacting protein-like 1(Aipl1)	Lost
Pou4f3	ENSMUSG00000024497	POU domain, class 4, transcription factor 3(Pou4f3)	Lost
Ubtd1	ENSMUSG00000025171	ubiquitin domain containing 1(Ubtd1)	Lost
Grap2	ENSMUSG00000042351	GRB2-related adaptor protein 2(Grap2)	Lost
Egflam	ENSMUSG00000042961	EGF-like, fibronectin type III and laminin G domains(Egflam)	Lost
Rwdd2a	ENSMUSG00000032417	RWD domain containing 2A(Rwdd2a)	Lost
Acsl6	ENSMUSG00000020333	acyl-CoA synthetase long-chain family member 6(Acsl6)	Lost
Vamp4	ENSMUSG00000026696	vesicle-associated membrane protein 4(Vamp4)	Lost
Hlf	ENSMUSG00000003949	hepatic leukemia factor(Hlf)	Lost
Pea15a	ENSMUSG00000013698	proliferation and apoptosis adaptor protein 15A(Pea15a)	Lost
Ccdc175	ENSMUSG00000021086	coiled-coil domain containing 175(Ccdc175)	Lost
Gem	ENSMUSG00000028214	GTP binding protein (gene overexpressed in skeletal muscle)(Gem)	Lost
1700017B05Rik	ENSMUSG00000032300	RIKEN cDNA 1700017B05 gene(1700017B05Rik)	Lost
Wrap53	ENSMUSG00000041346	WD repeat containing, antisense to Trp53(Wrap53)	Lost
Sptb	ENSMUSG00000021061	spectrin beta, erythrocytic(Sptb)	Lost
Nek6	ENSMUSG00000026749	NIMA (never in mitosis gene a)-related expressed kinase 6(Nek6)	Lost
Xkr7	ENSMUSG00000042631	X-linked Kx blood group related 7(Xkr7)	Lost
Rimbp2	ENSMUSG00000029420	RIMS binding protein 2(Rimbp2)	Lost
Tmem35a	ENSMUSG00000033578	transmembrane protein 35A(Tmem35a)	Lost
Il17rd	ENSMUSG00000040717	interleukin 17 receptor D(Il17rd)	Lost
Dll3	ENSMUSG00000003436	delta like canonical Notch ligand 3(Dll3)	Lost
Sncb	ENSMUSG00000034891	synuclein, beta(Sncb)	Lost
Loxl1	ENSMUSG00000032334	lysyl oxidase-like 1(Loxl1)	Lost
Scarb1	ENSMUSG00000037936	scavenger receptor class B, member 1(Scarb1)	Lost
Lmo1	ENSMUSG00000036111	LIM domain only 1(Lmo1)	Lost
Por	ENSMUSG00000005514	cytochrome p450 oxidoreductase(Por)	Lost
Kcnh6	ENSMUSG00000001901	potassium voltage-gated channel, subfamily H (eag-related), member 6(Kcnh6)	Lost
Clmn	ENSMUSG00000021097	calmin(Clmn)	Lost
Pitpnm2	ENSMUSG00000029406	phosphatidylinositol transfer protein, membrane-associated 2(Pitpnm2)	Lost
Extl1	ENSMUSG00000028838	exostosin-like glycosyltransferase 1(Extl1)	Lost
Sun1	ENSMUSG00000036817	Sad1 and UNC84 domain containing 1(Sun1)	Lost
Tax1bp1	ENSMUSG00000004535	Tax1 (human T cell leukemia virus type I) binding protein 1(Tax1bp1)	Lost
Ccdc155	ENSMUSG00000038292	KASH domain containing 5(Kash5)	Lost
P2rx7	ENSMUSG00000029468	purinergic receptor P2X, ligand-gated ion channel, 7(P2rx7)	Lost
Disp1	ENSMUSG00000030768	dispatched RND transporter family member 1(Disp1)	Lost
Lifr	ENSMUSG00000054263	LIF receptor alpha(Lifr)	Lost
Whrn	ENSMUSG00000039137	whirlin(Whrn)	Lost
Nphp4	ENSMUSG00000039577	nephronophthisis 4 (juvenile) homolog (human)(Nphp4)	Lost
Jam3	ENSMUSG00000031990	junction adhesion molecule 3(Jam3)	Lost
Mindy4	ENSMUSG00000038022	MINDY lysine 48 deubiquitinase 4(Mindy4)	Lost
Gucd1	ENSMUSG00000033416	guanylyl cyclase domain containing 1(Gucd1)	Lost
Adamts15	ENSMUSG00000033453	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15(Adamts15)	Lost
Adrb1	ENSMUSG00000035283	adrenergic receptor, beta 1(Adrb1)	Lost
Ppm1k	ENSMUSG00000037826	protein phosphatase 1K (PP2C domain containing)(Ppm1k)	Lost
Slc31a2	ENSMUSG00000066152	solute carrier family 31, member 2(Slc31a2)	Lost
Tmem86a	ENSMUSG00000010307	transmembrane protein 86A(Tmem86a)	Lost
Nr2e3	ENSMUSG00000032292	nuclear receptor subfamily 2, group E, member 3(Nr2e3)	Lost
Prkab1	ENSMUSG00000029513	protein kinase, AMP-activated, beta 1 non-catalytic subunit(Prkab1)	Lost
E2f3	ENSMUSG00000016477	E2F transcription factor 3(E2f3)	Lost
Snrk	ENSMUSG00000038145	SNF related kinase(Snrk)	Lost
Dnajb2	ENSMUSG00000026203	DnaJ heat shock protein family (Hsp40) member B2(Dnajb2)	Lost
Abcg1	ENSMUSG00000024030	ATP binding cassette subfamily G member 1(Abcg1)	Lost
Camkk1	ENSMUSG00000020785	calcium/calmodulin-dependent protein kinase kinase 1, alpha(Camkk1)	Lost
Atp8a2	ENSMUSG00000021983	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2(Atp8a2)	Lost
Atp8a2	ENSMUSG00000021983	uncharacterized LOC108168164(LOC108168164)	Lost
Amigo2	ENSMUSG00000048218	adhesion molecule with Ig like domain 2(Amigo2)	Lost
Pcmtd2	ENSMUSG00000027589	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2(Pcmtd2)	Lost
Ptprn2	ENSMUSG00000056553	protein tyrosine phosphatase, receptor type, N polypeptide 2(Ptprn2)	Lost
Rd3	ENSMUSG00000049353	retinal degeneration 3(Rd3)	Lost
Cox8b	ENSMUSG00000025488	cytochrome c oxidase subunit 8B(Cox8b)	Lost
Dst	ENSMUSG00000026131	dystonin(Dst)	Lost
Rapgef5	ENSMUSG00000041992	Rap guanine nucleotide exchange factor (GEF) 5(Rapgef5)	Lost
Spock2	ENSMUSG00000058297	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2(Spock2)	Lost
Pkm	ENSMUSG00000032294	pyruvate kinase, muscle(Pkm)	Lost
Trib1	ENSMUSG00000032501	tribbles pseudokinase 1(Trib1)	Lost
Nedd9	ENSMUSG00000021365	neural precursor cell expressed, developmentally down-regulated gene 9(Nedd9)	Lost
Peli3	ENSMUSG00000024901	pellino 3(Peli3)	Lost
Cyp2s1	ENSMUSG00000040703	cytochrome P450, family 2, subfamily s, polypeptide 1(Cyp2s1)	Lost
Cd4	ENSMUSG00000023274	CD4 antigen(Cd4)	Lost
Tmem26	ENSMUSG00000060044	transmembrane protein 26(Tmem26)	Lost
AW549877	ENSMUSG00000041935	expressed sequence AW549877(AW549877)	Lost
Slc26a2	ENSMUSG00000034320	solute carrier family 26 (sulfate transporter), member 2(Slc26a2)	Lost
Cadm1	ENSMUSG00000032076	cell adhesion molecule 1(Cadm1)	Lost
Eml2	ENSMUSG00000040811	echinoderm microtubule associated protein like 2(Eml2)	Lost
Gm37240	ENSMUSG00000102805	ADP-ribosylation factor interacting protein 1(Arfip1)	Lost
Osgep	ENSMUSG00000006289	O-sialoglycoprotein endopeptidase(Osgep)	Lost
Pimreg	ENSMUSG00000020808	PICALM interacting mitotic regulator(Pimreg)	Lost
Bahcc1	ENSMUSG00000039741	BAH domain and coiled-coil containing 1(Bahcc1)	Lost
Crb2	ENSMUSG00000035403	crumbs family member 2(Crb2)	Lost
Cend1	ENSMUSG00000060240	cell cycle exit and neuronal differentiation 1(Cend1)	Lost
Rax	ENSMUSG00000024518	retina and anterior neural fold homeobox(Rax)	Lost
Cplx3	ENSMUSG00000039714	complexin 3(Cplx3)	Lost
Kcnk9	ENSMUSG00000036760	potassium channel, subfamily K, member 9(Kcnk9)	Lost
App	ENSMUSG00000022892	amyloid beta (A4) precursor protein(App)	Lost
Fgfr3	ENSMUSG00000054252	fibroblast growth factor receptor 3(Fgfr3)	Lost
Chrna5	ENSMUSG00000035594	cholinergic receptor, nicotinic, alpha polypeptide 5(Chrna5)	Lost
Epb41l2	ENSMUSG00000019978	erythrocyte membrane protein band 4.1 like 2(Epb41l2)	Lost
Nos3	ENSMUSG00000028978	nitric oxide synthase 3, endothelial cell(Nos3)	Lost
F2rl1	ENSMUSG00000021678	coagulation factor II (thrombin) receptor-like 1(F2rl1)	Lost
Pitpnm1	ENSMUSG00000024851	phosphatidylinositol transfer protein, membrane-associated 1(Pitpnm1)	Lost
Srrm4	ENSMUSG00000063919	serine/arginine repetitive matrix 4(Srrm4)	Lost
Arhgap11a	ENSMUSG00000041219	Rho GTPase activating protein 11A(Arhgap11a)	Lost
Rgl3	ENSMUSG00000040146	ral guanine nucleotide dissociation stimulator-like 3(Rgl3)	Lost
Plekhh2	ENSMUSG00000040852	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2(Plekhh2)	Lost
Nrip3	ENSMUSG00000034825	nuclear receptor interacting protein 3(Nrip3)	Lost
Galnt4	ENSMUSG00000090035	polypeptide N-acetylgalactosaminyltransferase 4(Galnt4)	Lost
C1qa	ENSMUSG00000036887	complement component 1, q subcomponent, alpha polypeptide(C1qa)	Lost
Gmppa	ENSMUSG00000033021	GDP-mannose pyrophosphorylase A(Gmppa)	Lost
Ankrd2	ENSMUSG00000025172	ankyrin repeat domain 2 (stretch responsive muscle)(Ankrd2)	Lost
Esco2	ENSMUSG00000022034	establishment of sister chromatid cohesion N-acetyltransferase 2(Esco2)	Lost
Kpna3	ENSMUSG00000021929	karyopherin (importin) alpha 3(Kpna3)	Lost
Th	ENSMUSG00000000214	tyrosine hydroxylase(Th)	Lost
Card19	ENSMUSG00000037960	caspase recruitment domain family, member 19(Card19)	Lost
Acyp2	ENSMUSG00000060923	acylphosphatase 2, muscle type(Acyp2)	Lost
Tmem200c	ENSMUSG00000095407	transmembrane protein 200C(Tmem200c)	Lost
Arl13b	ENSMUSG00000022911	ADP-ribosylation factor-like 13B(Arl13b)	Lost
Acbd6	ENSMUSG00000033701	acyl-Coenzyme A binding domain containing 6(Acbd6)	Lost
Sparc	ENSMUSG00000018593	secreted acidic cysteine rich glycoprotein(Sparc)	Lost
Suclg2	ENSMUSG00000061838	succinate-Coenzyme A ligase, GDP-forming, beta subunit(Suclg2)	Lost
Abhd11	ENSMUSG00000040532	abhydrolase domain containing 11(Abhd11)	Lost
Pgap3	ENSMUSG00000038208	post-GPI attachment to proteins 3(Pgap3)	Lost
Fsbp	ENSMUSG00000094595	fibrinogen silencer binding protein(Fsbp)	Lost
Gramd1b	ENSMUSG00000040111	GRAM domain containing 1B(Gramd1b)	Lost
Sdk2	ENSMUSG00000041592	sidekick cell adhesion molecule 2(Sdk2)	Lost
Jarid2	ENSMUSG00000038518	jumonji, AT rich interactive domain 2(Jarid2)	Lost
Get4	ENSMUSG00000025858	golgi to ER traffic protein 4(Get4)	Lost
Coch	ENSMUSG00000020953	cochlin(Coch)	Lost
Kif11	ENSMUSG00000012443	kinesin family member 11(Kif11)	Lost
Atoh8	ENSMUSG00000037621	atonal bHLH transcription factor 8(Atoh8)	Lost
Erich6	ENSMUSG00000070471	glutamate rich 6(Erich6)	Lost
Lrp8	ENSMUSG00000028613	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor(Lrp8)	Lost
Iqgap1	ENSMUSG00000030536	IQ motif containing GTPase activating protein 1(Iqgap1)	Lost
Gpc6	ENSMUSG00000058571	glypican 6(Gpc6)	Lost
Zfp608	ENSMUSG00000052713	zinc finger protein 608(Zfp608)	Lost
C1qtnf12	ENSMUSG00000023571	C1q and tumor necrosis factor related 12(C1qtnf12)	Lost
Vipr2	ENSMUSG00000011171	vasoactive intestinal peptide receptor 2(Vipr2)	Lost
Wfdc1	ENSMUSG00000023336	WAP four-disulfide core domain 1(Wfdc1)	Lost
Lrig1	ENSMUSG00000030029	leucine-rich repeats and immunoglobulin-like domains 1(Lrig1)	Lost
Fads3	ENSMUSG00000024664	fatty acid desaturase 3(Fads3)	Lost
Bzw2	ENSMUSG00000020547	basic leucine zipper and W2 domains 2(Bzw2)	Lost
Mapk4	ENSMUSG00000024558	mitogen-activated protein kinase 4(Mapk4)	Lost
Dpy19l3	ENSMUSG00000043671	dpy-19-like 3 (C. elegans)(Dpy19l3)	Lost
Kcnj5	ENSMUSG00000032034	potassium inwardly-rectifying channel, subfamily J, member 5(Kcnj5)	Lost
Dusp8	ENSMUSG00000037887	dual specificity phosphatase 8(Dusp8)	Lost
Zdhhc14	ENSMUSG00000034265	zinc finger, DHHC domain containing 14(Zdhhc14)	Lost
Lyve1	ENSMUSG00000030787	lymphatic vessel endothelial hyaluronan receptor 1(Lyve1)	Lost
Pomc	ENSMUSG00000020660	pro-opiomelanocortin-alpha(Pomc)	Lost
Rcor2	ENSMUSG00000024968	REST corepressor 2(Rcor2)	Lost
Zdhhc2	ENSMUSG00000039470	zinc finger, DHHC domain containing 2(Zdhhc2)	Lost
Mtfr1	ENSMUSG00000027601	mitochondrial fission regulator 1(Mtfr1)	Lost
Pwwp2b	ENSMUSG00000060260	PWWP domain containing 2B(Pwwp2b)	Lost
Crxos	ENSMUSG00000074365	cone-rod homeobox, opposite strand(Crxos)	Lost
Prickle1	ENSMUSG00000036158	prickle planar cell polarity protein 1(Prickle1)	Lost
Gldc	ENSMUSG00000024827	glycine decarboxylase(Gldc)	Lost
Shank2	ENSMUSG00000037541	SH3 and multiple ankyrin repeat domains 2(Shank2)	Lost
Tdrd5	ENSMUSG00000060985	tudor domain containing 5(Tdrd5)	Lost
Mknk1	ENSMUSG00000028708	MAP kinase-interacting serine/threonine kinase 1(Mknk1)	Lost
Ndrg1	ENSMUSG00000005125	N-myc downstream regulated gene 1(Ndrg1)	Lost
Ebpl	ENSMUSG00000021928	emopamil binding protein-like(Ebpl)	Lost
Bcar3	ENSMUSG00000028121	breast cancer anti-estrogen resistance 3(Bcar3)	Lost
Gsg1l2	ENSMUSG00000097886	GSG1-like 2(Gsg1l2)	Lost
