label	seqnames	start	end	width	strand
wt_olap_172	chr1	136032925	136033325	401	*
wt_olap_173	chr1	136128978	136129378	401	*
wt_olap_174	chr1	136132707	136133107	401	*
wt_olap_175	chr1	136237838	136238238	401	*
wt_olap_176	chr1	136354655	136355055	401	*
wt_olap_177	chr1	136463429	136463829	401	*
wt_olap_178	chr1	136524845	136525245	401	*
wt_olap_179	chr1	136563135	136563535	401	*
wt_olap_180	chr1	137926325	137926725	401	*
wt_olap_181	chr1	139254649	139255049	401	*
wt_olap_182	chr1	139255558	139255958	401	*
wt_olap_183	chr1	143766664	143767064	401	*
wt_olap_184	chr1	150312767	150313167	401	*
wt_olap_185	chr1	150314399	150314799	401	*
wt_olap_186	chr1	150319173	150319573	401	*
wt_olap_187	chr1	150322187	150322587	401	*
wt_olap_188	chr1	150329545	150329945	401	*
wt_olap_189	chr1	151357426	151357826	401	*
wt_olap_190	chr1	153266801	153267201	401	*
wt_olap_191	chr1	155111617	155112017	401	*
wt_olap_192	chr1	155191501	155191901	401	*
wt_olap_193	chr1	155232445	155232845	401	*
wt_olap_194	chr1	155235651	155236051	401	*
wt_olap_195	chr1	155564628	155565028	401	*
wt_olap_196	chr1	155650519	155650919	401	*
wt_olap_197	chr1	155777595	155777995	401	*
wt_olap_198	chr1	155973511	155973911	401	*
wt_olap_199	chr1	156834822	156835222	401	*
wt_olap_200	chr1	156927082	156927482	401	*
wt_olap_201	chr1	156996999	156997399	401	*
wt_olap_202	chr1	157181048	157181448	401	*
wt_olap_203	chr1	157380815	157381215	401	*
wt_olap_204	chr1	157595130	157595530	401	*
wt_olap_205	chr1	158546495	158546895	401	*
wt_olap_206	chr1	160194976	160195376	401	*
wt_olap_207	chr1	160287230	160287630	401	*
wt_olap_208	chr1	160521834	160522234	401	*
wt_olap_209	chr1	160713951	160714351	401	*
wt_olap_210	chr1	161885855	161886255	401	*
wt_olap_211	chr1	162215961	162216361	401	*
wt_olap_212	chr1	162460337	162460737	401	*
wt_olap_213	chr1	162554161	162554561	401	*
wt_olap_214	chr1	162615515	162615915	401	*
wt_olap_215	chr1	164307254	164307654	401	*
wt_olap_216	chr1	165454304	165454704	401	*
wt_olap_217	chr1	165460892	165461292	401	*
wt_olap_218	chr1	165935379	165935779	401	*
wt_olap_219	chr1	166801084	166801484	401	*
wt_olap_220	chr1	167008631	167009031	401	*
wt_olap_221	chr1	167438227	167438627	401	*
wt_olap_222	chr1	168226156	168226556	401	*
wt_olap_223	chr1	168350699	168351099	401	*
wt_olap_224	chr1	170175735	170176135	401	*
wt_olap_225	chr1	170211634	170212034	401	*
wt_olap_226	chr1	171200979	171201379	401	*
wt_olap_227	chr1	171222449	171222849	401	*
wt_olap_228	chr1	171232714	171233114	401	*
wt_olap_229	chr1	171237437	171237837	401	*
wt_olap_230	chr1	171411017	171411417	401	*
wt_olap_231	chr1	172202568	172202968	401	*
wt_olap_232	chr1	172488839	172489239	401	*
wt_olap_233	chr1	172683569	172683969	401	*
wt_olap_234	chr1	175272957	175273357	401	*
wt_olap_235	chr1	175692752	175693152	401	*
wt_olap_236	chr1	176043057	176043457	401	*
wt_olap_237	chr1	176118532	176118932	401	*
wt_olap_238	chr1	176845386	176845786	401	*
wt_olap_239	chr1	176870488	176870888	401	*
wt_olap_240	chr1	176981533	176981933	401	*
wt_olap_241	chr1	177299516	177299916	401	*
wt_olap_242	chr1	177445453	177445853	401	*
wt_olap_243	chr1	177983012	177983412	401	*
wt_olap_244	chr1	178187205	178187605	401	*
wt_olap_245	chr1	178334406	178334806	401	*
wt_olap_246	chr1	179803732	179804132	401	*
wt_olap_247	chr1	180438570	180438970	401	*
wt_olap_248	chr1	180784762	180785162	401	*
wt_olap_249	chr1	180815667	180816067	401	*
wt_olap_250	chr1	180841893	180842293	401	*
wt_olap_251	chr1	180850489	180850889	401	*
wt_olap_252	chr1	180863615	180864015	401	*
wt_olap_253	chr1	181980402	181980802	401	*
wt_olap_254	chr1	181987243	181987643	401	*
wt_olap_255	chr1	183149582	183149982	401	*
wt_olap_256	chr1	183271294	183271694	401	*
wt_olap_257	chr1	186251419	186251819	401	*
wt_olap_258	chr1	187436801	187437201	401	*
wt_olap_259	chr1	187449200	187449600	401	*
wt_olap_260	chr1	187964810	187965210	401	*
wt_olap_261	chr1	188105242	188105642	401	*
wt_olap_262	chr1	188262224	188262624	401	*
wt_olap_263	chr1	188595095	188595495	401	*
wt_olap_264	chr1	190452438	190452838	401	*
wt_olap_265	chr1	190563018	190563418	401	*
wt_olap_266	chr1	190749528	190749928	401	*
wt_olap_267	chr1	191777566	191777966	401	*
wt_olap_268	chr1	191814770	191815170	401	*
wt_olap_269	chr1	191821147	191821547	401	*
wt_olap_270	chr1	191896823	191897223	401	*
wt_olap_271	chr1	191967203	191967603	401	*
wt_olap_272	chr1	191977136	191977536	401	*
wt_olap_273	chr1	191981505	191981905	401	*
wt_olap_274	chr1	192128349	192128749	401	*
wt_olap_275	chr1	192277741	192278141	401	*
wt_olap_276	chr1	193370098	193370498	401	*
wt_olap_277	chr1	193433666	193434066	401	*
wt_olap_278	chr1	194700462	194700862	401	*
wt_olap_279	chr1	194990991	194991391	401	*
wt_olap_280	chr2	3468589	3468989	401	*
wt_olap_281	chr2	3489764	3490164	401	*
wt_olap_282	chr2	3658853	3659253	401	*
wt_olap_283	chr2	3663800	3664200	401	*
wt_olap_284	chr2	3717407	3717807	401	*
wt_olap_285	chr2	4739994	4740394	401	*
wt_olap_286	chr2	5083698	5084098	401	*
wt_olap_287	chr2	5435713	5436113	401	*
wt_olap_288	chr2	5437815	5438215	401	*
wt_olap_289	chr2	5605521	5605921	401	*
wt_olap_290	chr2	5614390	5614790	401	*
wt_olap_291	chr2	5708309	5708709	401	*
wt_olap_292	chr2	5985761	5986161	401	*
wt_olap_293	chr2	6146197	6146597	401	*
wt_olap_294	chr2	6352998	6353398	401	*
wt_olap_295	chr2	6379579	6379979	401	*
wt_olap_296	chr2	6874251	6874651	401	*
wt_olap_297	chr2	7310790	7311190	401	*
wt_olap_298	chr2	9420946	9421346	401	*
wt_olap_299	chr2	9422745	9423145	401	*
wt_olap_300	chr2	9488292	9488692	401	*
wt_olap_301	chr2	11399408	11399808	401	*
wt_olap_302	chr2	12862599	12862999	401	*
wt_olap_303	chr2	13000039	13000439	401	*
wt_olap_304	chr2	13018353	13018753	401	*
wt_olap_305	chr2	13120457	13120857	401	*
wt_olap_306	chr2	13175481	13175881	401	*
wt_olap_307	chr2	14076383	14076783	401	*
wt_olap_308	chr2	14127537	14127937	401	*
wt_olap_309	chr2	14762856	14763256	401	*
wt_olap_310	chr2	14825126	14825526	401	*
wt_olap_311	chr2	14862192	14862592	401	*
wt_olap_312	chr2	14883341	14883741	401	*
wt_olap_313	chr2	15075888	15076288	401	*
wt_olap_314	chr2	18037635	18038035	401	*
wt_olap_315	chr2	20969478	20969878	401	*
wt_olap_316	chr2	24535526	24535926	401	*
wt_olap_317	chr2	24973119	24973519	401	*
wt_olap_318	chr2	25466281	25466681	401	*
wt_olap_319	chr2	25467583	25467983	401	*
wt_olap_320	chr2	25977584	25977984	401	*
wt_olap_321	chr2	25981642	25982042	401	*
wt_olap_322	chr2	26465635	26466035	401	*
wt_olap_323	chr2	26902760	26903160	401	*
wt_olap_324	chr2	27540116	27540516	401	*
wt_olap_325	chr2	27679074	27679474	401	*
wt_olap_326	chr2	27738359	27738759	401	*
wt_olap_327	chr2	28212907	28213307	401	*
wt_olap_328	chr2	29245671	29246071	401	*
wt_olap_329	chr2	29257134	29257534	401	*
wt_olap_330	chr2	29372171	29372571	401	*
wt_olap_331	chr2	29516810	29517210	401	*
wt_olap_332	chr2	29826864	29827264	401	*
wt_olap_333	chr2	30092592	30092992	401	*
wt_olap_334	chr2	30266450	30266850	401	*
wt_olap_335	chr2	30397983	30398383	401	*
wt_olap_336	chr2	30544982	30545382	401	*
wt_olap_337	chr2	32158211	32158611	401	*
wt_olap_338	chr2	32170008	32170408	401	*
wt_olap_339	chr2	32694019	32694419	401	*
wt_olap_340	chr2	32829303	32829703	401	*
wt_olap_341	chr2	32832583	32832983	401	*
wt_olap_342	chr2	32845021	32845421	401	*
wt_olap_343	chr2	33302442	33302842	401	*
wt_olap_344	chr2	33408776	33409176	401	*
wt_olap_345	chr2	33580597	33580997	401	*
wt_olap_346	chr2	33986411	33986811	401	*
wt_olap_347	chr2	34142148	34142548	401	*
wt_olap_348	chr2	34363725	34364125	401	*
wt_olap_349	chr2	34374341	34374741	401	*
wt_olap_350	chr2	34870876	34871276	401	*
wt_olap_351	chr2	35035262	35035662	401	*
wt_olap_352	chr2	35335647	35336047	401	*
wt_olap_353	chr2	36043177	36043577	401	*
wt_olap_354	chr2	37774496	37774896	401	*
wt_olap_355	chr2	37780226	37780626	401	*
wt_olap_356	chr2	38025674	38026074	401	*
wt_olap_357	chr2	38571839	38572239	401	*
wt_olap_358	chr2	38783747	38784147	401	*
wt_olap_359	chr2	39218450	39218850	401	*
wt_olap_360	chr2	44632589	44632989	401	*
wt_olap_361	chr2	44634065	44634465	401	*
wt_olap_362	chr2	45170188	45170588	401	*
wt_olap_363	chr2	49690410	49690810	401	*
wt_olap_364	chr2	49742808	49743208	401	*
wt_olap_365	chr2	49744708	49745108	401	*
wt_olap_366	chr2	49789032	49789432	401	*
wt_olap_367	chr2	52615469	52615869	401	*
wt_olap_368	chr2	54947271	54947671	401	*
wt_olap_369	chr2	55065821	55066221	401	*
wt_olap_370	chr2	58538163	58538563	401	*
wt_olap_371	chr2	59236204	59236604	401	*
wt_olap_372	chr2	60036360	60036760	401	*
wt_olap_373	chr2	60123101	60123501	401	*
wt_olap_374	chr2	60545476	60545876	401	*
wt_olap_375	chr2	60551679	60552079	401	*
wt_olap_376	chr2	62654551	62654951	401	*
wt_olap_377	chr2	66256751	66257151	401	*
wt_olap_378	chr2	68468433	68468833	401	*
wt_olap_379	chr2	69150799	69151199	401	*
wt_olap_380	chr2	69584326	69584726	401	*
wt_olap_381	chr2	69649688	69650088	401	*
wt_olap_382	chr2	71294496	71294896	401	*
wt_olap_383	chr2	71742648	71743048	401	*
wt_olap_384	chr2	73046606	73047006	401	*
wt_olap_385	chr2	73779827	73780227	401	*
wt_olap_386	chr2	75901940	75902340	401	*
wt_olap_387	chr2	76372966	76373366	401	*
wt_olap_388	chr2	77062267	77062667	401	*
wt_olap_389	chr2	77074721	77075121	401	*
wt_olap_390	chr2	77342385	77342785	401	*
wt_olap_391	chr2	77575346	77575746	401	*
wt_olap_392	chr2	77589038	77589438	401	*
wt_olap_393	chr2	77690373	77690773	401	*
wt_olap_394	chr2	77777267	77777667	401	*
wt_olap_395	chr2	78021900	78022300	401	*
wt_olap_396	chr2	78031554	78031954	401	*
wt_olap_397	chr2	79391005	79391405	401	*
wt_olap_398	chr2	79399540	79399940	401	*
wt_olap_399	chr2	79409857	79410257	401	*
wt_olap_400	chr2	79413644	79414044	401	*
wt_olap_401	chr2	79421696	79422096	401	*
wt_olap_402	chr2	79447773	79448173	401	*
wt_olap_403	chr2	79454941	79455341	401	*
wt_olap_404	chr2	79638915	79639315	401	*
wt_olap_405	chr2	84678102	84678502	401	*
wt_olap_406	chr2	84703506	84703906	401	*
wt_olap_407	chr2	84785133	84785533	401	*
wt_olap_408	chr2	84868349	84868749	401	*
wt_olap_409	chr2	84883072	84883472	401	*
wt_olap_410	chr2	90490542	90490942	401	*
wt_olap_411	chr2	90745241	90745641	401	*
wt_olap_412	chr2	90880163	90880563	401	*
wt_olap_413	chr2	90910947	90911347	401	*
wt_olap_414	chr2	90971575	90971975	401	*
wt_olap_415	chr2	91176274	91176674	401	*
wt_olap_416	chr2	91309515	91309915	401	*
wt_olap_417	chr2	91350197	91350597	401	*
wt_olap_418	chr2	91399388	91399788	401	*
wt_olap_419	chr2	91429070	91429470	401	*
wt_olap_420	chr2	91714905	91715305	401	*
wt_olap_421	chr2	92008281	92008681	401	*
wt_olap_422	chr2	92191820	92192220	401	*
wt_olap_423	chr2	93592148	93592548	401	*
wt_olap_424	chr2	93786279	93786679	401	*
wt_olap_425	chr2	94048251	94048651	401	*
wt_olap_426	chr2	94147433	94147833	401	*
wt_olap_427	chr2	94157961	94158361	401	*
wt_olap_428	chr2	94329308	94329708	401	*
wt_olap_429	chr2	101261403	101261803	401	*
wt_olap_430	chr2	102039912	102040312	401	*
wt_olap_431	chr2	102593381	102593781	401	*
wt_olap_432	chr2	102693723	102694123	401	*
wt_olap_433	chr2	102745163	102745563	401	*
wt_olap_434	chr2	103002063	103002463	401	*
wt_olap_435	chr2	103372543	103372943	401	*
wt_olap_436	chr2	103880945	103881345	401	*
wt_olap_437	chr2	104456756	104457156	401	*
wt_olap_438	chr2	104488478	104488878	401	*
wt_olap_439	chr2	104572277	104572677	401	*
wt_olap_440	chr2	104590232	104590632	401	*
wt_olap_441	chr2	104814523	104814923	401	*
wt_olap_442	chr2	105918073	105918473	401	*
wt_olap_443	chr2	106497312	106497712	401	*
wt_olap_444	chr2	106650270	106650670	401	*
wt_olap_445	chr2	106695946	106696346	401	*
wt_olap_446	chr2	106697569	106697969	401	*
wt_olap_447	chr2	109848621	109849021	401	*
wt_olap_448	chr2	112284279	112284679	401	*
wt_olap_449	chr2	112287148	112287548	401	*
wt_olap_450	chr2	112454732	112455132	401	*
wt_olap_451	chr2	112470820	112471220	401	*
wt_olap_452	chr2	112516725	112517125	401	*
wt_olap_453	chr2	112519904	112520304	401	*
wt_olap_454	chr2	113359914	113360314	401	*
wt_olap_455	chr2	113433032	113433432	401	*
wt_olap_456	chr2	113538858	113539258	401	*
wt_olap_457	chr2	113574392	113574792	401	*
wt_olap_458	chr2	114037893	114038293	401	*
wt_olap_459	chr2	115174594	115174994	401	*
wt_olap_460	chr2	115177988	115178388	401	*
wt_olap_461	chr2	115182860	115183260	401	*
wt_olap_462	chr2	115865364	115865764	401	*
wt_olap_463	chr2	118533115	118533515	401	*
wt_olap_464	chr2	118547580	118547980	401	*
wt_olap_465	chr2	118633433	118633833	401	*
wt_olap_466	chr2	118834050	118834450	401	*
wt_olap_467	chr2	118883287	118883687	401	*
wt_olap_468	chr2	119046541	119046941	401	*
wt_olap_469	chr2	119208658	119209058	401	*
wt_olap_470	chr2	119288535	119288935	401	*
wt_olap_471	chr2	120098592	120098992	401	*
wt_olap_472	chr2	120603472	120603872	401	*
wt_olap_473	chr2	120708498	120708898	401	*
wt_olap_474	chr2	121350700	121351100	401	*
wt_olap_475	chr2	121359227	121359627	401	*
wt_olap_476	chr2	121563924	121564324	401	*
wt_olap_477	chr2	121658543	121658943	401	*
wt_olap_478	chr2	121985317	121985717	401	*
wt_olap_479	chr2	125814165	125814565	401	*
wt_olap_480	chr2	127274809	127275209	401	*
wt_olap_481	chr2	127584551	127584951	401	*
wt_olap_482	chr2	127969978	127970378	401	*
wt_olap_483	chr2	128289469	128289869	401	*
wt_olap_484	chr2	128837516	128837916	401	*
wt_olap_485	chr2	128967080	128967480	401	*
wt_olap_486	chr2	129069579	129069979	401	*
wt_olap_487	chr2	129139890	129140290	401	*
wt_olap_488	chr2	129177006	129177406	401	*
wt_olap_489	chr2	129180493	129180893	401	*
wt_olap_490	chr2	129243713	129244113	401	*
wt_olap_491	chr2	129531088	129531488	401	*
wt_olap_492	chr2	129590723	129591123	401	*
wt_olap_493	chr2	129800018	129800418	401	*
wt_olap_494	chr2	129805506	129805906	401	*
wt_olap_495	chr2	129826559	129826959	401	*
wt_olap_496	chr2	130664067	130664467	401	*
wt_olap_497	chr2	131862877	131863277	401	*
wt_olap_498	chr2	131945208	131945608	401	*
wt_olap_499	chr2	132098692	132099092	401	*
wt_olap_500	chr2	132245135	132245535	401	*
wt_olap_501	chr2	132255874	132256274	401	*
wt_olap_502	chr2	132279426	132279826	401	*
wt_olap_503	chr2	132637831	132638231	401	*
wt_olap_504	chr2	132686778	132687178	401	*
wt_olap_505	chr2	132723988	132724388	401	*
wt_olap_506	chr2	135531527	135531927	401	*
wt_olap_507	chr2	135871897	135872297	401	*
wt_olap_508	chr2	136331356	136331756	401	*
wt_olap_509	chr2	136617275	136617675	401	*
wt_olap_510	chr2	136624095	136624495	401	*
wt_olap_511	chr2	136744965	136745365	401	*
wt_olap_512	chr2	136788020	136788420	401	*
wt_olap_513	chr2	136891805	136892205	401	*
wt_olap_514	chr2	137093346	137093746	401	*
wt_olap_515	chr2	140202482	140202882	401	*
wt_olap_516	chr2	140642712	140643112	401	*
wt_olap_517	chr2	144519687	144520087	401	*
wt_olap_518	chr2	144593790	144594190	401	*
wt_olap_519	chr2	145281917	145282317	401	*
wt_olap_520	chr2	146047685	146048085	401	*
wt_olap_521	chr2	146100142	146100542	401	*
wt_olap_522	chr2	146255682	146256082	401	*
wt_olap_523	chr2	146259751	146260151	401	*
wt_olap_524	chr2	146774806	146775206	401	*
wt_olap_525	chr2	148579636	148580036	401	*
wt_olap_526	chr2	148717185	148717585	401	*
wt_olap_527	chr2	148732268	148732668	401	*
wt_olap_528	chr2	148873073	148873473	401	*
wt_olap_529	chr2	148890025	148890425	401	*
wt_olap_530	chr2	152395969	152396369	401	*
wt_olap_531	chr2	153036680	153037080	401	*
wt_olap_532	chr2	153239349	153239749	401	*
wt_olap_533	chr2	153257088	153257488	401	*
wt_olap_534	chr2	153305111	153305511	401	*
wt_olap_535	chr2	153415327	153415727	401	*
wt_olap_536	chr2	153853550	153853950	401	*
wt_olap_537	chr2	154406705	154407105	401	*
wt_olap_538	chr2	154422111	154422511	401	*
wt_olap_539	chr2	154779607	154780007	401	*
wt_olap_540	chr2	154794253	154794653	401	*
wt_olap_541	chr2	155357308	155357708	401	*
wt_olap_542	chr2	155973327	155973727	401	*
wt_olap_543	chr2	156285194	156285594	401	*
wt_olap_544	chr2	156344710	156345110	401	*
wt_olap_545	chr2	156909195	156909595	401	*
wt_olap_546	chr2	156910081	156910481	401	*
wt_olap_547	chr2	156968362	156968762	401	*
wt_olap_548	chr2	158078087	158078487	401	*
wt_olap_549	chr2	158513798	158514198	401	*
wt_olap_550	chr2	158760248	158760648	401	*
wt_olap_551	chr2	160367801	160368201	401	*
wt_olap_552	chr2	160645578	160645978	401	*
wt_olap_553	chr2	161493162	161493562	401	*
wt_olap_554	chr2	163586009	163586409	401	*
wt_olap_555	chr2	163639240	163639640	401	*
wt_olap_556	chr2	164071007	164071407	401	*
wt_olap_557	chr2	164426780	164427180	401	*
wt_olap_558	chr2	164476313	164476713	401	*
wt_olap_559	chr2	164512075	164512475	401	*
wt_olap_560	chr2	164867130	164867530	401	*
wt_olap_561	chr2	164967057	164967457	401	*
wt_olap_562	chr2	165081204	165081604	401	*
wt_olap_563	chr2	165097188	165097588	401	*
wt_olap_564	chr2	165279354	165279754	401	*
wt_olap_565	chr2	165310856	165311256	401	*
wt_olap_566	chr2	165554046	165554446	401	*
wt_olap_567	chr2	165745313	165745713	401	*
wt_olap_568	chr2	166163841	166164241	401	*
wt_olap_569	chr2	166398080	166398480	401	*
wt_olap_570	chr2	167112201	167112601	401	*
wt_olap_571	chr2	167181069	167181469	401	*
wt_olap_572	chr2	167186593	167186993	401	*
wt_olap_573	chr2	167634523	167634923	401	*
wt_olap_574	chr2	168159437	168159837	401	*
wt_olap_575	chr2	168207113	168207513	401	*
wt_olap_576	chr2	173228684	173229084	401	*
wt_olap_577	chr2	173334703	173335103	401	*
wt_olap_578	chr2	179148194	179148594	401	*
wt_olap_579	chr2	179592097	179592497	401	*
wt_olap_580	chr2	179634516	179634916	401	*
wt_olap_581	chr2	179635888	179636288	401	*
wt_olap_582	chr2	180005692	180006092	401	*
