seqnames	start	end	width	strand	gene	distTSS	peak.id
chr1	46153031	46153431	401	*	Dnah7b	86493	peak.85
chr1	46166660	46167060	401	*	Dnah7c	-258732	peak.86
chr1	46166660	46167060	401	*	Dnah7b	100122	peak.86
chr1	51478277	51478677	401	*	Nabp1	-78	peak.87
chr1	51628106	51628506	401	*	Nabp1	-149907	peak.88
chr1	51628106	51628506	401	*	Myo1b	287622	peak.88
chr1	52150020	52150420	401	*	Stat1	30596	peak.89
chr1	52150020	52150420	401	*	Gls	83003	peak.89
chr1	52231862	52232262	401	*	Gls	1161	peak.90
chr1	52231862	52232262	401	*	Stat1	112438	peak.90
chr1	52330545	52330945	401	*	Gls	-97522	peak.91
chr1	52330545	52330945	401	*	Nab1	169934	peak.91
chr1	52435735	52436135	401	*	Gls	-202712	peak.92
chr1	52435735	52436135	401	*	Nab1	64744	peak.92
chr1	52634241	52634641	401	*	Nemp2	3738	peak.93
chr1	52634241	52634641	401	*	Mfsd6	93021	peak.93
chr1	52726159	52726559	401	*	Mfsd6	1103	peak.94
chr1	52726159	52726559	401	*	Nemp2	95656	peak.94
chr1	53225631	53226031	401	*	1700019A02Rik	-38195	peak.95
chr1	53225631	53226031	401	*	Pms1	71187	peak.95
chr1	53778483	53778883	401	*	Dnah7a	-71922	peak.96
chr1	53778483	53778883	401	*	Stk17b	6541	peak.96
chr1	54286429	54286829	401	*	Ccdc150	35946	peak.97
chr1	54286429	54286829	401	*	Gtf3c3	152342	peak.97
chr1	54438445	54438845	401	*	Gtf3c3	326	peak.98
chr1	54859860	54860260	401	*	Pgap1	-302378	peak.99
chr1	54859860	54860260	401	*	Ankrd44	66327	peak.99
chr1	55002268	55002668	401	*	Ankrd44	-76081	peak.100
chr1	55002268	55002668	401	*	Sf3b1	25013	peak.100
chr1	55052525	55052925	401	*	Coq10b	-45	peak.101
chr1	55501154	55501554	401	*	Plcl1	95433	peak.102
chr1	55700801	55701201	401	*	Plcl1	295080	peak.103
chr1	55700801	55701201	401	*	Hsfy2	936434	peak.103
chr1	55888639	55889039	401	*	Plcl1	482918	peak.104
chr1	55888639	55889039	401	*	Hsfy2	748596	peak.104
chr1	56973276	56973676	401	*	Satb2	-1618	peak.105
chr1	58203838	58204238	401	*	Aox4	-6359	peak.106
chr1	58203838	58204238	401	*	Aox3	90902	peak.106
chr1	58394577	58394977	401	*	Bzw1	1879	peak.107
chr1	58394577	58394977	401	*	Clk1	29289	peak.107
chr1	58586214	58586614	401	*	Fam126b	-148	peak.108
chr1	58586214	58586614	401	*	Ndufb3	30	peak.108
chr1	58600448	58600848	401	*	Ndufb3	14264	peak.109
chr1	58600448	58600848	401	*	Als2cr12	91794	peak.109
chr1	58602471	58602871	401	*	Ndufb3	16287	peak.110
chr1	58602471	58602871	401	*	Als2cr12	89771	peak.110
chr1	58621196	58621596	401	*	Ndufb3	35012	peak.111
chr1	58621196	58621596	401	*	Als2cr12	71046	peak.111
chr1	58713781	58714181	401	*	Casp8	-81496	peak.112
chr1	58713781	58714181	401	*	Cflar	2421	peak.112
chr1	58723048	58723448	401	*	Casp8	-72229	peak.113
chr1	58723048	58723448	401	*	Cflar	11688	peak.113
chr1	58880791	58881191	401	*	Casp8	85514	peak.114
chr1	58880791	58881191	401	*	Trak2	92439	peak.114
chr1	58961490	58961890	401	*	Trak2	11740	peak.115
chr1	58961490	58961890	401	*	Casp8	166213	peak.115
chr1	58969959	58970359	401	*	Stradb	-3363	peak.116
chr1	58969959	58970359	401	*	Trak2	3271	peak.116
chr1	58972865	58973265	401	*	Stradb	-457	peak.117
chr1	58972865	58973265	401	*	Trak2	365	peak.117
chr1	59117452	59117852	401	*	C2cd6	-22752	peak.118
chr1	59117452	59117852	401	*	Tmem237	2442	peak.118
chr1	59161469	59161869	401	*	Tmem237	-41575	peak.119
chr1	59161469	59161869	401	*	Mpp4	1720	peak.119
chr1	59163483	59163883	401	*	Mpp4	-294	peak.120
chr1	59207886	59208286	401	*	Mpp4	-44697	peak.121
chr1	59207886	59208286	401	*	Als2	29145	peak.121
chr1	59425196	59425596	401	*	Fzd7	-57028	peak.122
chr1	59425196	59425596	401	*	Cdk15	168489	peak.122
chr1	59684705	59685105	401	*	Nop58	-104	peak.123
chr1	60097816	60098216	401	*	Wdr12	-108	peak.124
chr1	60100099	60100499	401	*	Wdr12	-2391	peak.125
chr1	60129948	60130348	401	*	Cyp20a1	-213175	peak.126
chr1	60129948	60130348	401	*	Carf	24804	peak.126
chr1	60273851	60274251	401	*	Cyp20a1	-69272	peak.127
chr1	60273851	60274251	401	*	Carf	168707	peak.127
chr1	60569724	60570124	401	*	Raph1	-3145	peak.128
chr1	61140183	61140583	401	*	Pard3b	-498441	peak.129
chr1	61140183	61140583	401	*	Icos	162456	peak.129
chr1	61229116	61229516	401	*	Pard3b	-409508	peak.130
chr1	61229116	61229516	401	*	Icos	251389	peak.130
chr1	61265804	61266204	401	*	Pard3b	-372820	peak.131
chr1	61265804	61266204	401	*	Icos	288077	peak.131
chr1	61298829	61299229	401	*	Pard3b	-339795	peak.132
chr1	61298829	61299229	401	*	Icos	321102	peak.132
chr1	61331930	61332330	401	*	Pard3b	-306694	peak.133
chr1	61331930	61332330	401	*	Icos	354203	peak.133
chr1	62370348	62370748	401	*	Nrp2	-333154	peak.134
chr1	62370348	62370748	401	*	Pard3b	731724	peak.134
chr1	62984663	62985063	401	*	Ino80d	129404	peak.135
chr1	62984663	62985063	401	*	Nrp2	281161	peak.135
chr1	63088868	63089268	401	*	Ino80d	25199	peak.136
chr1	63088868	63089268	401	*	Nrp2	385366	peak.136
chr1	63294031	63294431	401	*	Adam23	-151664	peak.137
chr1	63294031	63294431	401	*	Zdbf2	20966	peak.137
chr1	64078805	64079205	401	*	4933402D24Rik	-309738	peak.138
chr1	64078805	64079205	401	*	Klf7	42486	peak.138
chr1	64298825	64299225	401	*	Creb1	-233784	peak.139
chr1	64298825	64299225	401	*	Klf7	-177534	peak.139
chr1	64547391	64547791	401	*	Creb1	14782	peak.140
chr1	64547391	64547791	401	*	Mettl21a	69577	peak.140
chr1	64568115	64568515	401	*	Creb1	35506	peak.141
chr1	64568115	64568515	401	*	Mettl21a	48853	peak.141
chr1	64570621	64571021	401	*	Creb1	38012	peak.142
chr1	64570621	64571021	401	*	Mettl21a	46347	peak.142
chr1	64690472	64690872	401	*	Ccnyl1	-673	peak.143
chr1	64804178	64804578	401	*	Fzd5	-66627	peak.144
chr1	64804178	64804578	401	*	Plekhm3	152446	peak.144
chr1	65035354	65035754	401	*	Akr1cl	-2795	peak.145
chr1	65111261	65111661	401	*	Cryga	-8088	peak.146
chr1	65111261	65111661	401	*	D630023F18Rik	11732	peak.146
chr1	65178761	65179161	401	*	Idh1	220	peak.147
chr1	65179918	65180318	401	*	Idh1	-937	peak.148
chr1	65186296	65186696	401	*	Pikfyve	-254	peak.149
chr1	65394388	65394788	401	*	Crygf	-531932	peak.150
chr1	65394388	65394788	401	*	Pth2r	83331	peak.150
chr1	66115350	66115750	401	*	Map2	-206169	peak.151
chr1	66115350	66115750	401	*	Crygf	189030	peak.151
chr1	66321486	66321886	401	*	Map2	-33	peak.152
chr1	66339695	66340095	401	*	Unc80	-128472	peak.153
chr1	66339695	66340095	401	*	Map2	18176	peak.153
chr1	66364370	66364770	401	*	Unc80	-103797	peak.154
chr1	66364370	66364770	401	*	Map2	42851	peak.154
chr1	66402636	66403036	401	*	Unc80	-65531	peak.155
chr1	66402636	66403036	401	*	Map2	81117	peak.155
chr1	66633463	66633863	401	*	Rpe	-67168	peak.156
chr1	66633463	66633863	401	*	Unc80	165296	peak.156
chr1	66686387	66686787	401	*	Rpe	-14244	peak.157
chr1	66686387	66686787	401	*	Unc80	218220	peak.157
chr1	66782409	66782809	401	*	Kansl1l	34937	peak.158
chr1	66782409	66782809	401	*	Rpe	81778	peak.158
chr1	66831216	66831616	401	*	Kansl1l	-13870	peak.159
chr1	66831216	66831616	401	*	Acadl	31861	peak.159
chr1	69296796	69297196	401	*	Erbb4	-188937	peak.160
chr1	69296796	69297196	401	*	Ikzf2	388825	peak.160
chr1	69686884	69687284	401	*	Ikzf2	-1263	peak.161
chr1	71641458	71641858	401	*	Fn1	11517	peak.162
chr1	71641458	71641858	401	*	Atic	84508	peak.162
chr1	71945662	71946062	401	*	Fn1	-292687	peak.163
chr1	71945662	71946062	401	*	Mreg	266445	peak.163
chr1	72136099	72136499	401	*	Fn1	-483124	peak.164
chr1	72136099	72136499	401	*	Mreg	76008	peak.164
chr1	72182521	72182921	401	*	Fn1	-529546	peak.165
chr1	72182521	72182921	401	*	Mreg	29586	peak.165
chr1	72391579	72391979	401	*	Xrcc5	84358	peak.166
chr1	72391579	72391979	401	*	4-Mar	145151	peak.166
chr1	72454717	72455117	401	*	4-Mar	82013	peak.167
chr1	72454717	72455117	401	*	Xrcc5	147496	peak.167
chr1	72489968	72490368	401	*	4-Mar	46762	peak.168
chr1	72489968	72490368	401	*	Xrcc5	182747	peak.168
chr1	72504551	72504951	401	*	4-Mar	32179	peak.169
chr1	72504551	72504951	401	*	Xrcc5	197330	peak.169
chr1	72583008	72583408	401	*	Smarcal1	-43	peak.170
chr1	72748529	72748929	401	*	Igfbp2	-75774	peak.171
chr1	72748529	72748929	401	*	Rpl37a	37439	peak.171
chr1	72764275	72764675	401	*	Igfbp2	-60028	peak.172
chr1	72764275	72764675	401	*	Rpl37a	53185	peak.172
chr1	73169406	73169806	401	*	Tnp1	-153697	peak.173
chr1	73169406	73169806	401	*	Tns1	954841	peak.173
chr1	73826185	73826585	401	*	Tnp1	-810476	peak.174
chr1	73826185	73826585	401	*	Tns1	298062	peak.174
chr1	74284660	74285060	401	*	Pnkd	-185	peak.175
chr1	74284660	74285060	401	*	Aamp	-180	peak.175
chr1	74295404	74295804	401	*	Tmbim1	8757	peak.176
chr1	74295404	74295804	401	*	Pnkd	10559	peak.176
chr1	74386842	74387242	401	*	Ctdsp1	-4467	peak.177
chr1	74437711	74438111	401	*	Cnot9	-68147	peak.178
chr1	74437711	74438111	401	*	Vil1	28535	peak.178
chr1	74587996	74588396	401	*	Zfp142	-171	peak.179
chr1	74587996	74588396	401	*	Bcs1l	-104	peak.179
chr1	74706059	74706459	401	*	Cyp27a1	-7315	peak.180
chr1	74706059	74706459	401	*	Ttll4	44514	peak.180
chr1	74773060	74773460	401	*	Wnt10a	-18256	peak.181
chr1	74773060	74773460	401	*	Wnt6	1368	peak.181
chr1	74816776	74817176	401	*	Cdk5r2	-37958	peak.182
chr1	74816776	74817176	401	*	Wnt10a	25460	peak.182
chr1	74848625	74849025	401	*	Cdk5r2	-6109	peak.183
chr1	74848625	74849025	401	*	Wnt10a	57309	peak.183
chr1	74850986	74851386	401	*	Cdk5r2	-3748	peak.184
chr1	74858889	74859289	401	*	Cdk5r2	4155	peak.185
chr1	74858889	74859289	401	*	Fev	26330	peak.185
chr1	74875365	74875765	401	*	Fev	9854	peak.186
chr1	74875365	74875765	401	*	Cdk5r2	20631	peak.186
chr1	75126859	75127259	401	*	Nhej1	-80420	peak.187
chr1	75126859	75127259	401	*	Slc23a3	6831	peak.187
chr1	75239821	75240221	401	*	Dnajb2	3615	peak.188
chr1	75239821	75240221	401	*	Ptprn	24192	peak.188
chr1	75317622	75318022	401	*	Dnpep	-163	peak.189
chr1	75405543	75405943	401	*	Gmppa	-30200	peak.190
chr1	75405543	75405943	401	*	Speg	30446	peak.190
chr1	75463760	75464160	401	*	Asic4	13261	peak.191
chr1	75463760	75464160	401	*	Chpf	15311	peak.191
chr1	75521259	75521659	401	*	Stk11ip	-70	peak.192
chr1	75909359	75909759	401	*	Slc4a3	363293	peak.193
chr1	76104318	76104718	401	*	Slc4a3	558252	peak.194
chr1	76118812	76119212	401	*	Slc4a3	572746	peak.195
chr1	76166507	76166907	401	*	Slc4a3	620441	peak.196
chr1	76453197	76453597	401	*	Slc4a3	907131	peak.197
chr1	76849409	76849809	401	*	Epha4	665479	peak.198
chr1	77082898	77083298	401	*	Epha4	431990	peak.199
chr1	77101881	77102281	401	*	Epha4	413007	peak.200
chr1	77380163	77380563	401	*	Epha4	134725	peak.201
chr1	77456693	77457093	401	*	Epha4	58195	peak.202
chr1	77506265	77506665	401	*	Epha4	8623	peak.203
chr1	77532248	77532648	401	*	Epha4	-17360	peak.204
chr1	77532248	77532648	401	*	Pax3	664390	peak.204
chr1	77660462	77660862	401	*	Epha4	-145574	peak.205
chr1	77660462	77660862	401	*	Pax3	536176	peak.205
chr1	77662758	77663158	401	*	Epha4	-147870	peak.206
chr1	77662758	77663158	401	*	Pax3	533880	peak.206
chr1	77673357	77673757	401	*	Epha4	-158469	peak.207
chr1	77673357	77673757	401	*	Pax3	523281	peak.207
chr1	78284061	78284461	401	*	Pax3	-87423	peak.208
chr1	78284061	78284461	401	*	Sgpp2	-26084	peak.208
chr1	78488926	78489326	401	*	Farsb	-267	peak.209
chr1	78567427	78567827	401	*	Acsl3	-90198	peak.210
chr1	78567427	78567827	401	*	BC035947	-55469	peak.210
chr1	78655575	78655975	401	*	Utp14b	-2263	peak.211
chr1	78655575	78655975	401	*	Acsl3	-2050	peak.211
chr1	79379584	79379984	401	*	Scg2	60336	peak.212
chr1	79379584	79379984	401	*	Kcne4	563026	peak.212
chr1	80208782	80209182	401	*	Serpine2	-350286	peak.213
chr1	80208782	80209182	401	*	Fam124b	4962	peak.213
chr1	80256670	80257070	401	*	Fam124b	-42926	peak.214
chr1	80256670	80257070	401	*	Cul3	83610	peak.214
chr1	80404003	80404403	401	*	Cul3	-63723	peak.215
chr1	80404003	80404403	401	*	Dock10	354245	peak.215
chr1	80413695	80414095	401	*	Cul3	-73415	peak.216
chr1	80413695	80414095	401	*	Dock10	344553	peak.216
chr1	80424651	80425051	401	*	Cul3	-84371	peak.217
chr1	80424651	80425051	401	*	Dock10	333597	peak.217
chr1	80427504	80427904	401	*	Cul3	-87224	peak.218
chr1	80427504	80427904	401	*	Dock10	330744	peak.218
chr1	81163664	81164064	401	*	Nyap2	86547	peak.219
chr1	81327622	81328022	401	*	Gm9747	-905290	peak.220
chr1	81327622	81328022	401	*	Nyap2	250505	peak.220
chr1	82066204	82066604	401	*	Gm9747	-166708	peak.221
chr1	82066204	82066604	401	*	Nyap2	989087	peak.221
chr1	82191650	82192050	401	*	Gm9747	-41262	peak.222
chr1	82746448	82746848	401	*	Mff	21758	peak.223
chr1	82746448	82746848	401	*	Tm4sf20	21813	peak.223
chr1	83345077	83345477	401	*	Sphkap	62923	peak.224
chr1	83345077	83345477	401	*	Daw1	185515	peak.224
chr1	83347972	83348372	401	*	Sphkap	60028	peak.225
chr1	83347972	83348372	401	*	Daw1	188410	peak.225
chr1	83397524	83397924	401	*	Sphkap	10476	peak.226
chr1	83397524	83397924	401	*	Daw1	237962	peak.226
chr1	83662109	83662509	401	*	Sphkap	-254109	peak.227
chr1	83662109	83662509	401	*	Pid1	622336	peak.227
chr1	84286507	84286907	401	*	Pid1	-2062	peak.228
chr1	84387510	84387910	401	*	Pid1	-103065	peak.229
chr1	84387510	84387910	401	*	Dner	308511	peak.229
chr1	84416083	84416483	401	*	Pid1	-131638	peak.230
chr1	84416083	84416483	401	*	Dner	279938	peak.230
chr1	84549729	84550129	401	*	Pid1	-265284	peak.231
chr1	84549729	84550129	401	*	Dner	146292	peak.231
chr1	84838074	84838474	401	*	Fbxo36	-1567	peak.232
chr1	84838074	84838474	401	*	Trip12	1030	peak.232
chr1	84840022	84840422	401	*	Trip12	-918	peak.233
chr1	84840022	84840422	401	*	Fbxo36	381	peak.233
chr1	84849948	84850348	401	*	Fbxo36	10307	peak.234
chr1	84849948	84850348	401	*	Slc16a14	84986	peak.234
chr1	86064163	86064563	401	*	Psmd1	-256	peak.235
chr1	86070087	86070487	401	*	Psmd1	5668	peak.236
chr1	86070087	86070487	401	*	Htr2b	41683	peak.236
chr1	86141087	86141487	401	*	Armc9	-13511	peak.237
chr1	86141087	86141487	401	*	Gm21972	7650	peak.237
chr1	86156596	86156996	401	*	B3gnt7	-146438	peak.238
chr1	86156596	86156996	401	*	Armc9	1998	peak.238
chr1	86359277	86359677	401	*	Ncl	-77	peak.239
chr1	86487312	86487712	401	*	Ptma	-39214	peak.240
chr1	86487312	86487712	401	*	Tex44	61183	peak.240
chr1	86525197	86525597	401	*	Ptma	-1329	peak.241
chr1	86526350	86526750	401	*	Ptma	-176	peak.242
chr1	86535695	86536095	401	*	Ptma	9169	peak.243
chr1	86535695	86536095	401	*	Pde6d	46652	peak.243
chr1	86551832	86552232	401	*	Ptma	25306	peak.244
chr1	86551832	86552232	401	*	Pde6d	30515	peak.244
chr1	86561787	86562187	401	*	Pde6d	20560	peak.245
chr1	86561787	86562187	401	*	Ptma	35261	peak.245
chr1	86576742	86577142	401	*	Pde6d	5605	peak.246
chr1	86576742	86577142	401	*	Ptma	50216	peak.246
chr1	87432877	87433277	401	*	Kcnj13	-38348	peak.247
chr1	87432877	87433277	401	*	3110079O15Rik	-37194	peak.247
chr1	87574283	87574683	401	*	Ngef	-613	peak.248
chr1	87574283	87574683	401	*	Neu2	456	peak.248
chr1	87583074	87583474	401	*	Inpp5d	-37038	peak.249
chr1	87583074	87583474	401	*	Neu2	9247	peak.249
chr1	87585896	87586296	401	*	Inpp5d	-34216	peak.250
chr1	87585896	87586296	401	*	Neu2	12069	peak.250
chr1	87710875	87711275	401	*	Atg16l1	-45011	peak.251
chr1	87710875	87711275	401	*	Inpp5d	90763	peak.251
chr1	88968976	88969376	401	*	Arl4c	-266955	peak.252
chr1	88968976	88969376	401	*	Sh3bp4	-101239	peak.252
chr1	89069878	89070278	401	*	Sh3bp4	-337	peak.253
chr1	89332336	89332736	401	*	Agap1	-122270	peak.254
chr1	89332336	89332736	401	*	Sh3bp4	262121	peak.254
chr1	89464939	89465339	401	*	Agap1	10333	peak.255
chr1	89464939	89465339	401	*	Gbx2	466040	peak.255
chr1	89504144	89504544	401	*	Agap1	49538	peak.256
chr1	89504144	89504544	401	*	Gbx2	426835	peak.256
chr1	89576625	89577025	401	*	Agap1	122019	peak.257
chr1	89576625	89577025	401	*	Gbx2	354354	peak.257
chr1	89750943	89751343	401	*	Gbx2	180036	peak.258
chr1	89750943	89751343	401	*	Agap1	296337	peak.258
chr1	89885709	89886109	401	*	Gbx2	45270	peak.259
chr1	89885709	89886109	401	*	Agap1	431103	peak.259
chr1	89893325	89893725	401	*	Gbx2	37654	peak.260
chr1	89893325	89893725	401	*	Agap1	438719	peak.260
chr1	89898330	89898730	401	*	Gbx2	32649	peak.261
chr1	89898330	89898730	401	*	Agap1	443724	peak.261
chr1	89918217	89918617	401	*	Gbx2	12762	peak.262
chr1	89918217	89918617	401	*	Agap1	463611	peak.262
chr1	89922818	89923218	401	*	Gbx2	8161	peak.263
chr1	89922818	89923218	401	*	Agap1	468212	peak.263
